height_cm,weight_kg,nationality,overall,potential,preferred_foot,contract_valid_until,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,age,fee,window,league,season,position_group
190,94,Belgium,84,90,Left,2019,68,84,83,67,73,76,64,66,58,78,76,86,62,77,48,88,71,80,93,76,72,27,84,69,80,80,27,30,30,8,15,14,7,10,24,84700000,summer,Premier League,2017,attacker
193,92,Netherlands,79,84,Right,2020,53,55,74,71,43,69,60,70,76,70,66,67,57,69,51,81,80,72,92,64,74,80,41,59,64,87,77,82,76,13,10,13,11,11,26,84650000,winter,Premier League,2017,defender
190,75,Serbia,70,81,Left,2023,44,74,68,60,68,70,66,37,40,72,57,66,55,68,48,78,64,56,68,64,50,22,74,54,64,66,71,26,24,5,15,6,11,10,22,83500000,winter,Serie A,2021,attacker
190,76,France,78,86,Right,2027,39,29,74,69,40,61,39,38,66,67,68,79,61,75,58,48,78,71,80,37,79,83,42,47,48,70,79,80,78,14,12,9,14,6,21,80400000,summer,Premier League,2022,defender
188,83,Spain,80,87,Right,2018,25,11,17,32,18,10,25,19,36,16,34,33,41,74,39,25,71,37,51,14,18,21,15,55,24,26,19,18,16,78,81,75,76,83,23,80000000,summer,Premier League,2018,goalkeeper
182,76,France,82,89,Left,2024,78,42,83,80,38,65,53,28,63,79,80,84,70,80,67,62,83,77,76,47,82,81,50,55,34,72,72,83,86,10,7,8,14,10,23,80000000,summer,1 Bundesliga,2019,defender
188,83,Germany,84,92,Left,2022,73,81,74,85,80,84,79,53,78,87,77,89,78,82,73,73,69,82,65,75,41,38,83,82,69,84,71,46,38,6,8,11,10,12,21,80000000,summer,Premier League,2020,midfielder
187,81,Uruguay,79,87,Right,2026,67,82,76,69,73,73,68,61,54,75,91,86,78,82,67,85,73,89,88,73,78,41,77,71,76,82,36,39,33,14,10,12,10,13,23,80000000,summer,Premier League,2022,attacker
187,81,France,81,88,Right,2024,68,67,73,84,50,78,76,53,83,80,70,73,75,81,71,78,74,86,82,72,82,84,75,82,55,82,80,83,78,9,8,12,12,7,22,80000000,summer,Laliga,2022,midfielder
181,76,Belgium,81,86,Right,2019,78,78,41,82,78,82,76,76,81,83,75,78,78,78,79,82,65,83,74,83,42,52,82,80,75,69,37,39,40,15,13,5,10,13,24,76000000,summer,Premier League,2015,midfielder
185,78,Nigeria,74,85,Right,2024,64,75,75,66,66,68,59,39,49,71,78,90,74,68,68,73,81,75,77,71,71,29,72,62,67,68,67,36,13,14,14,10,9,6,21,75000000,summer,Serie A,2020,attacker
190,94,Belgium,87,89,Left,2022,78,88,87,78,79,81,74,66,74,74,77,90,60,87,46,88,71,84,94,74,76,27,89,76,78,83,30,30,30,8,15,14,7,10,26,74000000,summer,Serie A,2019,attacker
170,58,France,83,91,Left,2020,82,78,54,82,75,88,81,81,71,86,86,84,85,76,84,82,72,79,69,76,63,66,76,82,68,79,63,59,63,11,15,13,7,14,22,72000000,summer,Laliga,2018,midfielder
186,82,Portugal,80,86,Right,2024,34,29,82,71,30,57,33,26,58,63,63,64,48,76,56,74,77,86,79,22,92,76,39,34,45,79,84,83,77,7,8,13,7,12,23,71600000,summer,Premier League,2020,defender
185,84,Brazil,89,89,Right,2025,58,64,79,84,62,69,62,74,84,79,60,69,61,87,66,88,87,89,90,81,91,87,75,80,66,84,85,88,87,13,14,16,12,12,30,70650000,summer,Premier League,2022,midfielder
191,82,Spain,82,87,Right,2023,63,68,75,81,59,77,65,54,79,82,70,66,69,79,72,70,69,86,75,76,63,80,75,81,46,72,71,79,72,10,10,7,14,8,23,70000000,summer,Premier League,2019,midfielder
192,77,Sweden,82,86,Right,2026,61,83,75,79,83,80,70,65,47,83,82,85,79,81,66,84,71,72,75,77,52,29,86,76,75,77,25,21,18,7,6,9,7,11,22,70000000,summer,Premier League,2022,attacker
181,73,Morocco,83,88,Right,2025,81,73,63,81,60,84,68,55,72,83,93,95,77,81,74,77,75,86,73,63,72,78,75,74,46,79,83,74,76,10,8,14,6,8,22,68000000,summer,Ligue 1,2021,defender
179,67,Algeria,83,84,Left,2020,81,74,45,78,71,88,79,75,74,88,85,80,92,75,85,76,62,75,51,72,40,38,79,79,72,82,25,23,19,15,9,13,11,6,27,67800000,summer,Premier League,2018,attacker
189,89,Netherlands,85,89,Right,2024,52,50,85,75,45,65,48,55,67,73,71,79,60,84,62,82,93,75,93,66,83,81,44,45,40,82,84,86,85,12,11,11,12,10,22,67000000,summer,1 Bundesliga,2022,defender
179,69,Portugal,83,87,Right,2023,84,72,58,84,84,83,83,81,82,85,79,77,76,84,78,87,72,89,67,88,62,69,79,86,81,83,58,66,53,12,14,15,8,14,25,65000000,winter,Premier League,2019,midfielder
182,74,Portugal,81,87,Right,2023,83,58,64,78,55,82,81,69,74,81,88,88,78,80,74,80,73,81,66,66,71,76,76,71,46,77,79,78,78,6,9,15,14,14,25,65000000,summer,Premier League,2019,defender
172,69,United States,78,89,Right,2020,65,71,49,76,70,86,69,58,59,79,93,90,91,77,92,72,86,68,51,58,44,30,73,76,48,64,28,32,37,8,12,13,16,14,20,64000000,winter,Premier League,2018,attacker
170,69,England,80,86,Right,2016,72,71,38,74,59,84,64,49,66,82,94,92,88,74,91,67,49,75,67,69,34,26,75,69,63,67,48,58,54,15,12,12,15,9,20,63700000,summer,Premier League,2015,attacker
180,70,Argentina,86,88,Left,2019,91,75,53,82,77,88,83,72,81,86,90,90,90,80,79,88,72,79,64,79,76,72,84,83,73,65,42,63,61,10,7,11,12,11,27,63000000,summer,Ligue 1,2015,attacker
191,91,Brazil,80,84,Right,2021,17,13,19,27,20,16,19,18,20,21,44,35,30,82,37,21,52,32,78,14,27,11,13,65,23,62,20,19,16,75,76,70,78,86,25,62500000,summer,Premier League,2018,goalkeeper
181,76,France,78,87,Right,2020,69,59,56,79,59,84,67,63,76,84,84,76,83,74,82,80,63,75,78,71,81,73,62,79,60,84,69,73,69,8,10,13,8,7,22,62000000,summer,Premier League,2019,midfielder
181,76,France,69,81,Right,2018,37,68,65,56,64,68,43,53,41,69,85,88,81,67,70,70,74,55,71,61,29,25,71,43,68,66,20,25,25,8,7,7,14,10,19,60000000,summer,Premier League,2015,attacker
188,85,Spain,85,86,Right,2019,63,88,82,65,81,79,58,59,48,82,73,76,58,84,52,83,60,85,91,69,93,40,88,74,76,84,28,39,34,11,13,12,8,11,29,60000000,winter,Laliga,2017,attacker
172,64,Guinea,83,88,Right,2020,62,74,42,88,59,90,63,47,78,88,82,66,90,84,90,76,56,88,59,66,77,79,74,81,58,79,55,63,61,7,14,15,14,9,23,60000000,summer,Premier League,2018,midfielder
194,94,Norway,88,94,Left,2024,47,94,78,74,88,78,77,62,51,85,82,93,77,88,72,94,74,82,93,87,85,43,89,73,76,85,44,53,29,7,14,13,11,7,21,60000000,summer,Premier League,2022,attacker
169,64,Brazil,80,85,Left,2021,67,71,55,85,64,79,70,59,77,84,80,84,84,82,87,69,84,88,45,74,73,69,69,76,65,79,75,75,69,7,16,15,11,15,25,59000000,summer,Premier League,2018,midfielder
185,77,England,75,84,Right,2024,53,22,69,72,21,65,26,20,67,72,71,68,59,74,55,39,77,79,74,25,72,78,39,57,24,75,32,75,77,8,11,12,5,6,23,58500000,summer,Premier League,2021,defender
176,68,Brazil,83,86,Left,2024,79,77,45,74,72,87,81,77,73,84,90,91,88,83,79,83,74,86,65,79,76,55,82,77,78,80,47,54,38,8,7,13,8,14,25,58000000,summer,Laliga,2022,attacker
181,71,Brazil,81,86,Right,2024,73,81,83,78,75,85,74,65,61,83,85,81,79,81,73,83,86,81,77,72,84,46,82,74,77,81,45,58,48,12,7,8,11,13,25,58000000,summer,Premier League,2022,attacker
185,85,France,75,79,Left,2021,76,33,64,74,20,73,32,29,68,73,78,76,66,68,69,65,68,74,79,63,75,76,68,31,40,58,70,74,75,7,7,9,15,9,23,57500000,summer,Premier League,2017,defender
178,77,Argentina,80,85,Left,2025,75,52,74,80,56,76,63,53,82,78,74,71,73,77,79,72,90,84,78,66,84,82,62,73,55,82,83,81,81,6,14,13,14,8,24,57370000,summer,Premier League,2022,defender
180,65,Italy,81,84,Right,2020,70,57,56,85,71,77,75,76,84,84,74,75,82,81,73,71,61,83,58,62,78,78,72,83,84,75,63,75,70,14,7,13,14,8,26,57000000,summer,Premier League,2018,midfielder
170,69,England,87,87,Right,2023,79,82,46,83,67,87,79,72,69,85,95,88,94,90,93,78,57,79,65,80,59,30,91,82,70,77,47,53,47,15,12,12,15,9,27,56200000,summer,Premier League,2022,attacker
188,75,England,77,87,Right,2019,62,29,74,78,27,66,26,29,64,75,72,72,63,76,54,46,72,76,77,41,70,75,48,59,37,63,79,80,81,7,15,11,10,8,22,55600000,summer,Premier League,2016,defender
184,77,Spain,81,89,Right,2025,77,77,70,80,72,82,71,48,78,79,88,77,80,76,68,76,75,73,66,75,45,34,77,86,66,82,31,24,28,12,9,11,15,12,21,55000000,winter,Laliga,2021,attacker
175,73,France,85,89,Right,2019,70,86,76,80,82,85,74,73,68,83,84,87,87,84,84,81,78,80,77,74,70,40,86,77,82,86,23,29,30,11,6,9,5,6,26,53000000,summer,Premier League,2017,attacker
180,75,Germany,83,87,Right,2020,69,86,77,77,84,83,63,56,55,84,93,92,81,86,76,79,71,83,65,70,63,37,85,61,72,74,57,20,19,9,9,8,15,9,24,53000000,summer,Premier League,2020,attacker
178,70,England,81,84,Right,2019,76,51,76,73,57,74,76,73,67,73,86,93,70,75,73,86,83,90,77,70,78,74,62,67,63,75,77,81,84,12,6,16,15,8,27,52700000,summer,Premier League,2017,defender
175,73,Brazil,83,86,Right,2023,74,83,78,78,77,87,76,54,66,85,87,81,91,84,87,83,79,82,69,76,75,32,85,77,75,78,45,30,28,13,8,6,6,15,25,52200000,summer,Premier League,2022,attacker
183,75,Germany,70,83,Left,2019,63,67,70,70,56,76,80,59,59,74,84,86,78,66,72,73,64,67,58,72,52,34,63,62,53,65,28,30,27,8,12,9,9,14,20,52000000,summer,Premier League,2016,attacker
178,77,England,79,85,Left,2024,77,43,68,73,42,78,65,66,69,79,79,78,70,76,72,69,81,87,68,38,74,76,68,64,52,73,33,78,81,10,7,14,7,10,23,50200000,summer,Premier League,2020,defender
173,64,Portugal,81,88,Left,2020,76,74,51,81,65,83,75,63,76,82,82,77,85,83,81,69,53,75,54,58,58,49,76,82,64,79,46,44,35,9,10,14,12,9,22,50000000,summer,Premier League,2017,midfielder
186,79,Brazil,75,86,Right,2023,71,47,72,69,34,67,58,40,64,72,79,75,75,73,67,62,80,84,76,39,80,69,59,59,60,67,74,73,76,11,8,15,12,15,21,50000000,summer,Laliga,2019,defender
185,77,Ghana,82,85,Right,2023,66,68,68,84,53,79,68,58,80,81,70,75,70,81,50,83,83,91,81,80,82,79,73,78,49,75,38,83,81,11,13,9,9,7,27,50000000,summer,Premier League,2020,midfielder
181,75,Argentina,85,86,Right,2021,46,89,88,73,85,75,58,45,54,80,76,75,75,85,76,84,94,67,73,70,56,22,92,64,82,79,87,24,20,13,9,5,7,9,27,50000000,summer,Ligue 1,2020,attacker
185,79,Argentina,82,87,Right,2023,42,48,83,72,52,54,40,38,56,68,76,73,72,80,68,51,86,79,82,36,89,82,43,41,40,80,84,85,84,5,7,11,14,10,24,50000000,summer,Premier League,2022,defender
181,75,France,83,89,Right,2024,45,47,79,80,32,69,42,26,75,74,81,82,71,85,74,48,88,76,80,40,75,86,47,62,43,82,85,85,83,11,10,8,14,13,23,50000000,summer,Laliga,2022,defender
188,81,Portugal,72,86,Right,2023,62,70,56,64,65,73,72,58,52,71,87,85,75,72,50,71,64,70,77,59,59,21,73,66,63,76,25,24,21,10,12,15,11,9,20,49500000,summer,Serie A,2019,attacker
183,75,Germany,86,92,Left,2021,83,81,72,80,85,88,83,82,64,85,93,96,86,81,80,87,64,78,70,78,61,34,84,82,71,80,76,32,35,8,12,9,9,14,24,49000000,summer,1 Bundesliga,2020,attacker
178,72,England,81,85,Right,2024,70,62,66,82,55,73,62,71,82,80,69,67,72,76,72,75,82,85,78,68,86,78,66,75,58,79,80,82,78,8,8,8,12,14,26,49000000,summer,Premier League,2022,midfielder
178,73,France,77,85,Left,2023,74,62,69,76,43,80,71,35,71,78,88,86,78,75,78,69,78,79,76,64,77,74,75,73,49,78,67,74,74,7,16,9,10,9,24,48000000,summer,Laliga,2019,defender
180,73,Colombia,78,86,Right,2024,67,75,50,71,68,80,71,47,64,78,92,92,86,79,66,82,72,83,66,82,59,21,79,69,44,77,74,36,34,10,13,13,14,14,25,47000000,winter,Premier League,2021,attacker
190,83,Belgium,80,85,Right,2017,58,82,84,73,72,75,60,46,48,79,79,81,74,68,48,85,81,77,92,76,80,29,81,73,81,66,25,30,25,14,5,12,8,5,24,46500000,summer,Premier League,2015,attacker
183,74,England,72,83,Right,2025,73,64,49,68,48,76,75,66,62,74,78,78,73,61,68,68,58,68,56,67,62,28,65,68,65,65,34,40,33,5,6,14,7,8,21,45600000,winter,Premier League,2022,attacker
180,75,Netherlands,80,84,Left,2022,63,48,76,77,52,69,62,59,73,74,75,75,73,79,69,63,86,75,78,56,74,81,51,66,53,76,10,82,81,10,7,7,16,10,25,45300000,summer,Premier League,2020,defender
185,82,Switzerland,81,85,Left,2019,68,49,59,84,50,68,68,70,88,79,48,54,58,84,62,88,33,79,75,84,89,74,78,86,59,68,70,73,66,7,8,11,7,13,23,45000000,summer,Premier League,2016,midfielder
188,78,Brazil,83,88,Right,2021,79,66,75,82,30,75,71,45,74,80,73,75,71,79,69,75,77,89,80,53,83,83,68,72,91,80,79,88,85,13,12,6,8,8,24,45000000,summer,Premier League,2018,midfielder
177,62,Brazil,77,92,Right,2025,65,73,50,70,71,81,77,58,48,80,92,94,90,70,82,74,74,79,54,68,48,26,74,65,65,75,32,25,18,5,7,7,7,10,18,45000000,summer,Laliga,2018,attacker
178,78,Croatia,83,89,Right,2019,73,62,42,87,76,88,78,68,82,89,84,74,80,68,85,79,63,82,65,75,77,78,69,88,59,72,69,75,63,9,5,6,7,7,25,45000000,summer,Premier League,2019,midfielder
175,70,Mexico,80,86,Right,2023,75,76,60,74,74,83,71,65,65,80,94,93,91,77,76,75,75,78,57,74,59,45,77,74,64,77,42,35,29,11,10,14,14,10,24,45000000,summer,Serie A,2019,attacker
176,72,Belgium,79,89,Right,2022,76,73,57,80,78,76,84,74,80,81,52,53,67,75,76,88,65,73,71,88,70,71,74,83,76,81,66,72,69,6,8,10,14,12,22,45000000,summer,Premier League,2019,midfielder
174,64,Brazil,76,89,Right,2025,70,74,62,67,67,81,72,73,45,76,86,84,87,77,84,71,73,82,44,70,54,21,80,68,65,81,77,28,24,9,8,12,8,5,18,45000000,summer,Laliga,2019,attacker
183,76,Portugal,79,86,Right,2026,59,71,53,79,57,84,74,58,77,82,81,83,74,83,75,77,54,85,74,68,76,78,79,77,59,79,76,75,74,13,10,12,12,13,23,45000000,summer,Premier League,2022,midfielder
185,81,Poland,92,92,Right,2023,71,95,90,85,89,85,79,85,70,88,77,78,77,93,82,90,85,76,86,87,81,49,95,81,90,88,35,42,19,15,6,12,8,10,33,45000000,summer,Laliga,2022,attacker
179,78,Portugal,78,85,Right,2020,75,70,54,84,66,81,65,67,75,80,74,77,76,78,67,77,63,79,70,70,65,76,80,76,59,69,64,74,62,6,15,8,8,8,23,44780000,summer,Serie A,2016,midfielder
194,84,Serbia,84,84,Left,2019,68,64,77,82,74,72,68,67,80,79,66,68,57,82,53,78,71,90,90,75,83,86,68,77,69,85,76,84,78,7,15,12,14,9,28,44700000,summer,Premier League,2017,midfielder
178,73,Portugal,80,86,Right,2022,67,77,52,72,75,84,76,58,68,84,88,79,87,81,86,82,66,80,71,74,85,54,82,73,63,84,22,54,44,7,12,15,9,11,23,44700000,summer,Premier League,2020,attacker
183,75,Argentina,80,84,Right,2019,43,59,80,65,58,60,50,44,59,63,71,61,61,73,63,59,75,69,78,26,82,85,50,52,44,63,84,84,85,12,5,8,11,12,27,44500000,summer,Premier League,2015,defender
180,77,Argentina,77,86,Right,2025,66,61,66,80,62,77,74,69,74,80,77,72,76,77,77,83,66,83,79,72,82,69,79,80,73,80,72,75,74,8,6,7,8,10,21,44250000,summer,Liga Portugal,2022,midfielder
186,76,Brazil,69,76,Right,2020,44,66,67,64,62,70,52,38,56,67,76,79,73,64,69,62,75,67,79,60,63,45,68,62,61,63,29,35,38,9,13,8,13,13,22,44000000,summer,Premier League,2019,midfielder
187,75,Germany,80,85,Right,2018,78,75,58,82,79,86,78,72,74,84,78,78,84,81,75,81,67,69,62,85,49,38,76,75,62,67,25,35,26,11,13,5,13,8,21,43000000,summer,1 Bundesliga,2015,attacker
181,73,Morocco,79,86,Right,2020,76,59,64,79,48,83,65,55,68,79,90,93,75,77,75,75,70,84,73,62,67,76,71,63,46,72,26,77,71,10,8,14,6,8,21,43000000,summer,Serie A,2020,defender
180,72,Brazil,81,86,Left,2025,72,79,66,80,74,86,77,74,78,86,74,76,77,81,79,77,79,82,75,75,76,71,80,82,75,86,67,72,63,14,9,12,11,11,25,42950000,summer,Premier League,2022,midfielder
186,90,France,79,90,Right,2023,48,39,81,75,21,68,32,28,73,65,69,84,62,70,65,54,88,61,90,34,81,77,45,58,39,69,29,84,77,6,7,8,15,9,22,42500000,summer,1 Bundesliga,2021,defender
175,70,Italy,84,90,Right,2022,75,80,50,78,80,89,78,52,72,82,91,91,88,86,81,86,53,85,71,84,69,30,84,77,62,81,65,44,44,6,7,8,9,7,24,42500000,summer,Serie A,2022,attacker
182,78,Brazil,78,87,Right,2024,66,60,64,83,66,78,73,62,81,80,70,69,71,76,73,71,61,82,70,67,74,74,66,79,65,79,16,76,70,7,11,15,11,11,24,42100000,winter,Premier League,2021,midfielder
177,75,Armenia,81,83,Right,2017,70,64,53,76,84,87,83,64,75,86,88,84,90,83,81,87,73,82,66,74,68,68,82,82,72,69,49,53,55,5,11,14,5,7,27,42000000,summer,Premier League,2016,midfielder
187,83,Colombia,71,83,Right,2021,36,22,72,64,28,40,22,27,62,57,68,76,63,66,55,64,74,69,85,26,74,60,31,44,44,56,69,74,70,9,7,10,6,15,21,42000000,summer,Premier League,2017,defender
190,86,Italy,87,87,Right,2020,44,37,84,75,55,68,56,61,83,75,64,74,60,84,54,74,85,73,85,65,82,90,38,74,70,82,84,88,88,2,2,3,2,4,30,42000000,summer,Serie A,2017,defender
175,72,Egypt,81,86,Left,2019,69,77,59,76,69,87,59,60,63,87,92,91,86,80,84,71,70,77,60,62,63,55,81,71,61,73,37,43,41,14,14,9,11,14,25,42000000,summer,Premier League,2017,attacker
186,73,Czech Republic,77,87,Left,2018,64,79,74,74,67,80,78,56,59,80,75,77,83,74,68,72,69,68,71,73,59,22,78,73,58,79,17,24,19,11,15,8,9,14,22,42000000,summer,Serie A,2018,attacker
189,76,Netherlands,81,86,Right,2026,79,81,60,74,74,85,77,75,66,82,85,87,80,76,71,84,74,78,76,79,60,39,78,77,63,76,43,38,28,15,11,7,9,5,23,42000000,winter,Premier League,2022,attacker
181,78,France,78,86,Right,2020,66,73,82,77,62,70,66,73,80,76,72,73,72,80,73,80,89,80,78,72,81,77,78,75,70,73,74,77,72,7,10,14,9,14,22,41500000,summer,1 Bundesliga,2017,midfielder
172,74,Brazil,83,90,Left,2023,79,75,57,83,71,85,77,81,73,85,87,82,92,80,84,85,58,74,64,85,53,26,79,84,68,78,21,28,17,8,14,15,7,9,22,41500000,summer,Premier Liga,2019,attacker
175,75,Senegal,78,84,Right,2018,68,76,53,73,66,83,74,64,67,77,91,91,88,75,85,73,58,65,66,66,61,29,77,69,71,67,33,33,38,10,10,15,7,14,24,41200000,summer,Premier League,2016,attacker
177,69,Argentina,70,83,Left,2016,65,68,62,69,74,74,73,71,66,74,90,82,90,62,79,66,63,70,39,71,59,34,68,60,68,65,26,33,35,8,10,8,9,10,21,41000000,summer,Serie A,2015,attacker
181,76,Brazil,81,85,Right,2017,70,80,72,83,80,87,74,67,72,83,78,77,84,78,78,73,74,76,72,74,41,33,80,81,63,66,24,30,31,8,11,9,6,10,23,41000000,summer,Premier League,2015,attacker
184,82,Germany,82,87,Right,2019,51,58,80,75,51,44,55,47,69,67,70,69,68,79,70,66,82,75,81,52,77,85,50,52,54,63,81,82,85,11,9,15,10,6,24,41000000,summer,Premier League,2016,defender
171,75,Brazil,80,87,Left,2020,77,74,57,77,66,83,75,80,67,81,86,80,93,77,84,80,58,74,63,77,51,26,76,79,66,76,16,28,17,8,14,15,7,9,21,41000000,summer,Laliga,2018,attacker
196,87,England,78,85,Right,2023,50,82,81,69,76,72,50,42,45,76,68,78,65,79,56,78,70,69,79,68,49,22,80,67,74,73,81,23,15,12,7,8,13,13,23,41000000,summer,Serie A,2021,attacker
188,82,Brazil,80,85,Right,2024,46,54,83,65,36,60,30,20,69,62,76,76,69,78,72,65,80,66,81,35,80,82,50,44,43,74,83,84,83,13,15,13,5,6,25,41000000,summer,Serie A,2022,defender
182,74,Portugal,79,86,Right,2018,80,59,64,78,55,82,81,69,73,79,93,91,78,78,74,80,73,81,66,66,69,69,80,66,46,69,74,78,76,6,9,15,14,14,24,40400000,summer,Serie A,2018,defender
188,83,Brazil,78,86,Left,2020,20,14,14,15,18,21,12,20,25,30,57,58,36,78,28,42,50,31,69,18,27,25,16,61,17,31,9,15,8,80,72,80,75,82,23,40000000,summer,Premier League,2017,goalkeeper
183,75,Italy,78,84,Left,2019,74,66,48,76,70,83,73,70,66,83,83,83,83,76,72,74,54,80,62,74,52,34,72,76,68,74,34,34,37,14,15,10,13,12,23,40000000,summer,Serie A,2017,attacker
184,72,France,74,81,Right,2019,54,39,70,76,36,64,49,37,66,70,68,69,66,70,62,65,74,72,78,47,77,74,57,68,45,65,74,75,73,11,15,11,14,10,22,40000000,summer,Premier League,2017,midfielder
180,75,Argentina,77,84,Right,2021,74,55,60,83,73,77,79,76,80,82,75,69,77,74,77,80,61,79,69,77,79,72,64,82,57,74,64,75,72,9,14,6,9,10,24,40000000,winter,Ligue 1,2018,midfielder
170,65,Brazil,82,82,Left,2018,76,71,51,78,73,85,79,78,71,83,96,88,91,76,90,86,61,74,63,84,55,32,77,78,77,73,28,31,30,13,15,9,12,5,27,40000000,summer,Serie A,2018,attacker
179,68,Portugal,74,82,Right,2018,69,74,60,73,73,76,74,70,62,74,84,80,81,76,69,76,65,77,56,76,67,47,78,71,69,75,25,34,30,9,12,11,9,9,21,40000000,summer,Laliga,2018,attacker
170,68,France,81,81,Right,2021,73,83,74,75,76,84,80,76,66,83,87,83,91,80,87,76,86,69,57,69,55,44,87,76,70,84,34,33,26,6,13,9,7,7,29,40000000,summer,Ligue 1,2019,attacker
181,65,Morocco,85,86,Left,2022,84,73,53,86,74,83,90,78,89,83,83,77,86,84,78,80,37,84,58,77,73,52,82,89,67,77,77,56,40,11,7,11,8,14,27,40000000,summer,Premier League,2020,attacker
185,75,Portugal,68,85,Right,2022,41,68,62,46,67,73,52,31,38,72,76,73,74,68,68,68,72,58,70,64,54,17,67,56,70,61,68,21,16,6,12,7,13,8,18,40000000,summer,Premier League,2020,attacker
