height_cm,weight_kg,nationality,overall,potential,preferred_foot,contract_valid_until,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,age_y,position,fee,window,league,season
169,72,Switzerland,80,85,Left,2016.0,74,75,37,79,76,86,82,78,68,84,92,84,88,80,94,84,63,78,74,81,73,65,78,78,65,,58,60,53,13,12,12,11,11,23,Attacking Midfield,17000000,summer,Premier League,2015
187,75,Germany,80,85,Right,2018.0,78,75,58,82,79,86,78,72,74,84,78,78,84,81,75,81,67,69,62,85,49,38,76,75,62,,25,35,26,11,13,5,13,8,21,Left Winger,43000000,summer,1 Bundesliga,2015
183,75,Argentina,80,84,Right,2019.0,43,59,80,65,58,60,50,44,59,63,71,61,61,73,63,59,75,69,78,26,82,85,50,52,44,,84,84,85,12,5,8,11,12,27,Centre-Back,44500000,summer,Premier League,2015
172,73,Germany,80,82,Right,2016.0,78,67,64,83,61,80,67,62,79,80,78,77,84,82,83,75,82,82,64,70,59,78,78,81,58,,75,74,76,14,8,13,10,15,28,Central Midfield,11000000,summer,1 Bundesliga,2015
190,82,Denmark,80,81,Right,2017.0,48,32,81,76,37,42,52,66,70,67,62,69,48,80,58,80,63,70,83,41,81,83,31,49,46,,81,83,79,6,10,13,10,15,26,Centre-Back,7650000,summer,Super Lig,2015
179,75,Italy,72,78,Left,2017.0,68,67,67,74,65,73,65,63,74,75,76,73,79,70,74,72,66,76,66,75,72,64,71,72,55,,45,65,65,6,7,6,6,8,24,Central Midfield,21000000,summer,Serie A,2015
189,80,Northern Ireland,79,82,Right,2016.0,51,27,83,77,45,38,31,24,61,67,69,78,50,81,57,41,79,74,73,24,77,81,27,44,43,,78,83,79,11,15,15,14,7,27,Centre-Back,8300000,summer,Premier League,2015
192,84,Germany,79,82,Right,2017.0,25,25,25,32,25,25,25,25,32,25,44,47,37,78,39,23,66,31,64,25,24,25,25,25,21,,25,25,25,81,77,70,77,84,26,Goalkeeper,3500000,summer,1 Bundesliga,2015
179,72,Hungary,79,81,Left,2015.0,88,75,41,73,72,77,84,85,71,76,83,80,83,78,70,87,63,81,66,83,43,24,70,73,80,,28,22,25,9,6,13,6,9,28,Attacking Midfield,1600000,summer,Super Lig,2015
188,89,England,79,79,Left,2016.0,58,51,85,64,44,56,41,51,59,60,53,54,57,75,46,65,80,67,85,39,81,76,38,47,47,,80,82,83,5,5,11,15,6,33,Centre-Back,1400000,summer,Premier League,2015
165,63,England,79,79,Right,2016.0,79,65,27,79,67,83,62,54,53,80,94,91,94,77,92,61,71,75,52,56,56,36,76,77,61,,25,23,25,13,6,6,15,10,28,Right Winger,6000000,summer,Premier League,2015
183,80,Switzerland,79,79,Right,2016.0,69,59,67,81,77,72,63,67,83,78,69,65,68,75,59,88,75,79,76,86,79,79,69,78,73,,69,79,77,10,13,5,9,4,31,Defensive Midfield,7000000,summer,Premier League,2015
185,78,Switzerland,79,79,Right,2017.0,70,55,68,78,70,76,70,68,78,78,77,73,76,78,68,75,70,87,77,74,89,82,70,74,72,,70,83,86,11,10,6,14,10,30,Defensive Midfield,3500000,summer,Premier League,2015
191,87,France,79,79,Right,2016.0,55,20,83,70,33,51,43,32,53,64,68,78,58,76,47,81,81,71,86,54,84,78,50,50,53,,75,84,78,8,13,6,8,5,29,Centre-Back,4300000,summer,Premier League,2015
176,78,Netherlands,78,88,Right,2018.0,65,64,54,73,74,86,78,80,68,82,92,90,82,81,86,86,79,82,74,72,66,21,78,75,68,,24,31,20,8,14,6,12,10,21,Centre-Forward,34000000,summer,Premier League,2015
183,85,Greece,78,84,Right,2015.0,54,22,82,56,44,43,41,53,51,55,65,68,58,72,62,82,91,64,90,58,91,72,34,53,45,,75,79,80,10,9,11,8,9,23,Centre-Back,6500000,summer,1 Bundesliga,2015
184,80,Mexico,78,83,Left,2016.0,49,32,78,71,54,48,47,27,67,66,69,68,68,66,62,62,86,75,82,38,77,79,34,58,62,,77,80,83,11,14,13,8,9,27,Centre-Back,3500000,summer,Eredivisie,2015
189,80,France,78,83,Right,2017.0,69,56,69,77,58,73,60,29,77,73,66,57,49,77,55,72,74,92,77,67,80,81,61,74,42,,76,82,78,11,10,10,13,11,26,Defensive Midfield,8900000,summer,Premier League,2015
187,81,Croatia,78,82,Right,2017.0,79,78,81,77,85,78,76,76,74,77,83,78,75,79,67,83,82,77,75,81,65,52,79,75,73,,26,41,36,6,7,10,9,6,26,Left Midfield,19000000,summer,Serie A,2015
187,80,Belgium,78,82,Right,2015.0,58,44,77,76,37,59,54,64,77,67,61,66,57,77,49,85,78,74,81,67,78,78,55,43,59,,79,80,77,15,5,13,15,13,26,Centre-Back,16000000,summer,Premier League,2015
175,77,France,78,81,Right,2017.0,72,78,66,78,79,80,81,78,76,81,79,77,85,78,76,80,48,68,68,81,54,44,78,78,76,,29,51,48,11,15,9,14,12,28,Attacking Midfield,15000000,summer,Premier League,2015
180,76,Germany,78,81,Left,2017.0,75,76,60,79,78,81,76,69,69,81,73,76,76,78,76,81,70,84,72,78,68,39,77,80,81,,37,44,40,12,7,5,13,9,27,Second Striker,12000000,summer,1 Bundesliga,2015
178,73,Netherlands,78,80,Right,,75,75,62,74,86,82,70,64,50,79,84,88,78,82,82,79,75,74,76,74,52,22,68,72,66,,21,38,31,15,15,13,14,5,27,Right Winger,11400000,summer,Premier League,2015
180,78,Germany,78,80,Right,2016.0,75,77,60,79,79,77,77,75,77,78,75,76,75,80,79,78,72,84,73,80,72,74,77,78,70,,68,74,73,6,9,12,10,11,26,Attacking Midfield,3000000,summer,1 Bundesliga,2015
186,82,Sweden,74,80,Right,2016.0,68,53,59,76,65,75,73,69,76,79,67,71,69,73,56,71,66,78,74,68,81,63,69,76,67,,53,67,63,4,4,4,4,4,25,Defensive Midfield,4500000,summer,1 Bundesliga,2015
183,73,Germany,78,78,Left,2017.0,77,72,65,80,77,78,78,76,70,78,77,78,78,80,73,76,69,77,66,75,57,54,78,80,82,,36,37,35,14,11,6,15,14,28,Attacking Midfield,3000000,summer,1 Bundesliga,2015
188,78,Costa Rica,78,78,Left,2015.0,72,75,78,80,80,84,79,73,67,84,68,71,80,77,75,75,56,73,57,70,32,48,77,80,70,,44,56,47,8,6,11,6,5,29,Attacking Midfield,1320000,summer,Liga Portugal,2015
190,88,France,78,78,Right,2017.0,33,43,80,56,50,49,43,60,64,51,67,69,58,61,50,85,80,64,90,58,81,83,39,51,53,,83,84,78,4,2,4,4,2,29,Centre-Back,2500000,summer,Laliga,2015
180,81,Morocco,71,75,Left,2016.0,64,25,65,63,23,50,22,22,58,66,68,66,50,67,59,58,73,64,74,37,84,71,47,51,31,,70,71,75,8,10,9,7,8,25,Centre-Back,2000000,summer,Serie A,2015
179,70,France,77,84,Left,2018.0,75,74,65,77,63,81,73,53,74,76,85,81,82,81,70,75,59,68,64,73,55,27,73,75,56,,28,28,30,7,10,13,9,8,22,Right Winger,18350000,summer,Premier League,2015
181,71,Switzerland,77,82,Right,2019.0,71,81,65,74,75,79,75,50,62,78,78,82,79,77,76,76,74,69,67,71,69,34,79,56,73,,26,36,39,6,8,12,7,12,22,Centre-Forward,10000000,summer,1 Bundesliga,2015
187,79,Serbia,77,82,Left,2017.0,45,26,78,68,31,30,28,31,63,66,71,76,64,73,53,43,82,72,78,21,70,79,32,39,46,,80,82,78,10,15,10,14,12,22,Centre-Back,9500000,summer,1 Bundesliga,2015
191,86,Italy,77,81,Left,2018.0,55,34,79,55,34,48,50,40,61,58,69,77,58,60,54,71,87,69,87,50,65,83,37,47,43,,83,83,77,4,2,4,3,3,27,Centre-Back,11000000,summer,Premier League,2015
182,78,Bulgaria,77,80,Right,2015.0,70,73,65,83,66,73,66,75,76,78,81,79,74,75,60,77,62,78,68,73,69,48,80,77,76,,38,50,43,13,6,6,14,7,27,Attacking Midfield,6000000,summer,Premier Liga,2015
186,83,France,77,79,Right,2016.0,68,81,79,70,71,69,61,55,54,74,68,78,72,77,55,77,80,60,82,68,58,28,81,63,78,,28,25,25,9,10,10,5,7,27,Centre-Forward,4500000,summer,1 Bundesliga,2015
178,77,Morocco,77,79,Right,2015.0,78,69,50,75,54,83,74,67,70,77,89,87,90,70,75,75,58,78,75,73,66,33,72,63,66,,28,40,28,10,13,6,5,12,28,Right Winger,3500000,summer,Laliga,2015
186,72,Germany,77,79,Right,2016.0,80,74,48,76,59,69,78,56,70,74,76,83,65,79,58,73,47,93,68,75,87,81,75,73,38,,72,78,78,8,13,11,6,9,27,Right-Back,2170000,winter,1 Bundesliga,2015
181,77,Argentina,77,77,Right,2015.0,80,66,55,78,72,75,78,76,77,78,76,81,75,74,71,77,60,80,69,69,68,60,70,79,72,,50,66,65,10,14,12,5,8,30,Central Midfield,2000000,summer,Super Lig,2015
182,83,Germany,77,77,Left,2016.0,78,87,65,78,90,78,80,75,65,79,76,72,70,80,72,92,65,61,75,85,65,35,80,78,83,,32,38,38,9,8,15,8,8,30,Second Striker,2500000,summer,Super Lig,2015
181,85,Turkey,77,77,Right,2017.0,68,79,77,74,71,75,69,74,63,75,77,75,71,74,74,76,81,76,77,66,65,41,79,74,77,,32,45,39,11,13,13,5,6,28,Centre-Forward,3300000,summer,1 Bundesliga,2015
177,71,Argentina,77,77,Right,2016.0,69,69,59,78,57,75,64,60,79,83,69,74,75,83,64,61,59,66,62,77,37,70,84,81,61,,35,59,55,8,12,5,15,8,29,Central Midfield,4000000,winter,Laliga,2015
174,76,Japan,77,77,Right,2016.0,67,78,78,73,72,79,52,49,58,76,80,74,84,80,85,76,90,83,65,67,71,42,78,63,66,,29,41,32,9,5,13,5,5,29,Centre-Forward,11000000,summer,Premier League,2015
183,70,Italy,76,87,Left,2015.0,66,75,61,71,71,82,71,67,57,80,83,85,81,72,73,71,64,75,58,72,71,25,75,68,80,,21,29,27,4,5,4,4,5,20,Right Winger,10000000,summer,Serie A,2015
182,73,France,76,85,Left,2018.0,81,65,66,78,58,72,66,52,68,77,82,77,75,77,74,68,74,78,70,56,73,75,65,67,59,,76,75,77,13,9,6,8,14,22,Left-Back,25000000,summer,Ligue 1,2015
174,69,Belgium,76,84,Right,2015.0,75,72,37,76,74,76,73,72,75,77,71,75,77,76,76,73,64,75,57,76,61,38,75,81,72,,27,33,31,5,8,6,6,7,22,Left Winger,8000000,summer,1 Bundesliga,2015
181,81,Germany,76,82,Right,2017.0,76,50,67,77,65,70,81,74,81,76,65,65,72,76,78,85,83,82,76,77,72,74,71,76,64,,74,76,68,14,14,13,15,7,21,Defensive Midfield,10500000,summer,1 Bundesliga,2015
184,75,United States,74,78,Right,2018.0,50,83,69,67,67,73,58,45,70,74,77,78,71,72,69,74,67,71,59,70,49,26,74,66,77,,25,24,20,14,14,9,12,6,24,Centre-Forward,4200000,summer,1 Bundesliga,2015
181,78,Nigeria,76,79,Right,2017.0,59,81,76,67,75,73,47,48,46,67,81,84,84,75,66,78,83,79,79,69,47,48,76,60,68,,25,36,26,14,12,12,6,8,26,Centre-Forward,5420000,summer,Super League 1,2015
194,88,Germany,76,79,Right,2015.0,29,39,86,65,33,32,28,22,55,47,50,52,46,76,34,56,59,62,87,25,78,75,37,48,41,,76,81,75,10,6,5,10,12,26,Centre-Back,3800000,summer,Premier League,2015
176,76,Argentina,76,78,Right,2017.0,67,79,58,71,77,83,85,78,60,81,77,77,88,78,88,79,69,70,65,79,65,38,78,70,73,,31,36,32,6,15,15,5,11,28,Centre-Forward,2100000,winter,Serie A,2015
194,88,Poland,76,78,Right,2015.0,25,25,25,31,25,25,25,25,33,27,51,49,48,71,37,21,75,31,70,25,22,25,25,25,25,,25,25,25,83,72,69,73,79,28,Goalkeeper,1000000,summer,1 Bundesliga,2015
169,67,Mexico,76,77,Left,2015.0,78,64,54,77,68,81,70,74,70,81,84,83,85,79,85,75,67,82,58,72,62,74,70,76,64,,71,72,73,6,9,9,10,9,28,Central Midfield,2800000,summer,Eredivisie,2015
188,77,England,76,76,Right,2016.0,66,81,85,65,71,64,76,80,71,76,49,52,57,76,59,85,71,71,86,73,75,31,79,76,95,,29,25,25,12,14,6,15,10,33,Centre-Forward,4200000,summer,Premier League,2015
191,88,Germany,76,76,Right,2016.0,30,45,83,60,55,30,29,60,67,53,48,53,26,70,42,74,54,76,93,53,87,75,33,31,53,,75,80,75,8,15,9,14,8,30,Centre-Back,4200000,summer,Premier League,2015
188,85,Argentina,76,76,Right,2016.0,41,54,79,68,72,55,53,62,73,63,70,76,62,70,52,76,73,71,82,49,80,76,42,54,55,,75,76,80,5,9,11,8,7,28,Centre-Back,1500000,summer,1 Bundesliga,2015
178,72,Scotland,76,76,Right,2016.0,58,77,75,72,65,77,66,37,62,78,76,78,78,76,68,73,83,85,76,63,78,52,83,76,78,,40,48,48,11,10,7,8,15,29,Second Striker,11000000,winter,Premier League,2015
170,73,England,76,76,Right,2017.0,85,66,52,73,61,80,81,56,68,74,88,86,78,72,93,71,62,74,42,67,59,55,68,71,65,,32,36,34,8,7,7,7,5,29,Left Winger,3400000,winter,Premier League,2015
183,75,Ecuador,76,76,Right,2018.0,77,66,74,80,62,75,75,81,78,81,73,73,77,69,66,61,79,91,71,74,67,72,74,80,79,,76,73,74,14,7,10,14,10,30,Central Midfield,1500000,summer,Premier Liga,2015
181,75,Croatia,75,86,Right,2017.0,74,55,45,83,69,84,81,73,79,86,85,78,81,74,76,71,65,75,56,76,60,49,69,82,58,,35,50,50,8,4,5,6,6,21,Central Midfield,38000000,summer,Laliga,2015
186,85,Switzerland,75,83,Right,2015.0,60,65,83,74,50,62,59,61,81,62,77,79,72,68,73,80,81,81,87,63,71,73,60,68,83,,68,76,73,7,8,10,9,14,23,Centre-Back,4000000,summer,1 Bundesliga,2015
171,62,Germany,75,81,Right,2017.0,70,64,44,75,64,79,75,68,69,74,89,78,92,73,88,71,74,78,52,63,77,50,66,69,60,,55,52,53,14,10,5,13,15,21,Attacking Midfield,2500000,summer,1 Bundesliga,2015
177,73,Serbia,75,81,Right,2018.0,72,73,48,78,73,79,77,74,76,78,79,76,78,75,77,72,65,75,68,69,58,66,77,76,66,,39,59,46,9,10,9,8,11,23,Central Midfield,3000000,summer,1 Bundesliga,2015
178,70,France,75,80,Left,2017.0,76,62,57,76,67,74,73,68,74,75,80,75,77,72,65,82,74,77,67,74,67,61,68,75,72,,61,63,70,14,12,13,10,5,26,Left-Back,4900000,summer,Premier League,2015
187,84,Argentina,75,80,Right,2017.0,77,72,78,76,60,79,76,64,68,77,80,80,82,71,58,79,70,66,74,66,32,54,62,74,63,,44,47,45,10,7,14,11,6,20,Left Winger,7500000,summer,Ligue 1,2015
186,79,Serbia,75,79,Right,2017.0,64,46,67,77,59,64,73,76,79,74,55,54,56,67,57,86,59,77,79,85,80,76,57,68,73,,68,78,72,6,12,8,6,12,27,Central Midfield,2000000,summer,Super League,2015
193,79,England,75,80,Right,2018.0,25,25,25,32,25,25,25,25,34,25,58,56,35,64,43,25,68,35,63,25,34,21,25,25,40,,25,25,25,78,74,60,73,80,25,Goalkeeper,4900000,summer,Premier League,2015
183,79,Switzerland,76,80,Right,2019.0,66,77,59,75,70,81,72,61,63,78,73,76,81,75,77,78,60,76,73,73,67,41,77,73,68,,28,39,35,12,13,7,14,15,24,Second Striker,8000000,summer,1 Bundesliga,2015
193,88,Argentina,75,79,Right,2016.0,58,76,74,68,76,74,60,48,55,77,72,76,64,71,48,78,57,78,76,73,73,27,73,65,69,,25,24,22,6,9,9,9,8,26,Centre-Forward,6000000,summer,1 Bundesliga,2015
193,84,Netherlands,75,79,Right,2017.0,52,52,73,68,42,71,59,72,73,69,68,72,55,68,52,74,72,72,92,63,73,77,40,42,63,,74,76,70,12,9,12,10,10,24,Centre-Back,15700000,summer,Premier League,2015
181,74,Denmark,75,77,Right,2016.0,76,68,68,76,67,72,72,80,71,74,76,78,73,76,69,75,70,79,68,70,77,72,73,74,58,,64,72,75,10,8,9,12,12,26,Central Midfield,3000000,summer,Laliga,2015
188,84,Argentina,75,77,Left,2015.0,81,68,70,81,73,84,81,77,77,84,64,67,74,73,56,79,77,75,77,75,74,58,74,68,73,,45,68,62,4,10,10,13,9,27,Central Midfield,10500000,summer,Premier League,2015
184,74,Serbia,75,75,Right,2018.0,77,59,65,73,67,73,72,65,73,73,76,78,70,75,68,81,70,79,71,76,77,75,65,65,54,,71,77,75,11,5,10,13,13,30,Right-Back,10500000,summer,Serie A,2015
178,82,Colombia,75,75,Right,2016.0,60,76,76,69,67,75,66,62,64,76,71,73,71,74,70,73,80,68,77,69,82,24,78,70,73,,25,25,25,13,12,10,5,12,30,Attacking Midfield,3400000,summer,Liga Portugal,2015
189,82,Serbia,74,85,Right,2018.0,28,78,78,63,71,66,38,42,42,70,68,71,58,73,48,81,77,61,81,73,71,22,74,63,58,,25,23,25,14,11,5,6,12,20,Centre-Forward,18500000,summer,Premier League,2015
181,81,England,74,82,Left,2017.0,74,65,53,72,58,83,67,67,58,75,88,89,79,68,71,81,48,70,66,77,42,20,69,69,57,,35,28,26,12,10,10,10,12,24,Right Winger,15700000,winter,Premier League,2015
184,83,England,74,80,Right,2017.0,68,69,47,80,55,71,65,72,80,74,66,68,62,71,67,78,65,79,75,75,81,57,74,75,70,,48,65,56,13,10,14,7,15,23,Central Midfield,16000000,winter,Premier League,2015
175,72,Armenia,77,82,Left,2018.0,78,74,40,76,73,79,79,83,72,80,82,79,82,72,79,85,73,65,57,84,34,42,67,70,75,,21,27,22,9,11,13,6,10,25,Right Winger,1300000,winter,Super Lig,2015
182,82,Italy,75,81,Right,2015.0,51,83,76,65,76,64,66,46,34,76,78,76,78,76,74,72,89,78,78,40,82,20,84,55,79,,25,25,25,14,14,9,12,4,26,Centre-Forward,8800000,winter,Premier League,2015
172,65,Togo,74,79,Right,2017.0,73,74,58,74,61,79,65,72,64,76,82,81,74,74,82,75,57,68,58,71,49,39,69,70,68,,35,29,24,12,13,11,9,10,27,Right Winger,1300000,winter,Jupiler Pro League,2015
174,70,France,74,79,Left,2016.0,78,66,66,76,62,75,80,76,65,62,81,82,79,77,78,72,57,78,60,68,52,38,72,73,71,,38,30,27,8,15,7,8,15,27,Left Winger,2000000,summer,Serie A,2015
190,75,France,74,79,Right,2016.0,57,45,78,82,49,70,43,41,76,78,69,72,65,73,61,74,64,79,83,62,86,81,65,68,56,,77,77,70,6,15,15,15,12,26,Defensive Midfield,8000000,summer,Laliga,2015
182,78,France,74,78,Right,2016.0,63,76,75,74,74,70,68,65,59,73,67,76,73,76,68,74,73,72,68,73,48,41,77,68,73,,25,38,25,10,12,5,6,11,27,Centre-Forward,2000000,summer,Ligue 1,2015
185,72,Netherlands,74,78,Right,2017.0,57,69,64,74,65,73,71,70,68,78,72,69,72,77,64,72,70,75,59,73,45,60,69,76,65,,55,57,43,15,7,15,8,5,23,Central Midfield,4500000,summer,Eredivisie,2015
182,75,Colombia,74,78,Right,2019.0,37,25,82,54,43,49,37,25,55,60,61,72,75,65,67,67,86,74,79,25,72,75,44,47,45,,72,74,81,13,12,7,10,13,23,Centre-Back,8000000,summer,Serie A,2015
180,73,Belgium,74,77,Right,2015.0,66,79,71,71,83,63,71,69,67,71,63,66,74,80,73,73,70,85,58,78,63,47,83,73,74,,32,38,39,10,7,12,8,12,26,Centre-Forward,3300000,summer,Jupiler Pro League,2015
176,70,Serbia,74,77,Left,2018.0,73,68,46,72,69,80,83,73,64,81,78,83,77,71,72,72,55,58,61,70,31,25,73,71,74,,28,35,25,12,14,7,12,15,26,Left Midfield,3000000,summer,Super League,2015
193,87,Switzerland,74,77,Right,2017.0,41,32,84,71,32,40,49,37,63,62,48,52,40,72,34,65,51,63,84,43,73,77,45,44,40,,75,77,70,14,9,10,14,9,27,Centre-Back,11000000,winter,Premier League,2015
180,76,Germany,74,76,Right,2017.0,77,28,70,74,31,73,76,64,70,74,76,75,68,74,71,69,66,78,67,61,74,70,46,58,41,,73,75,76,10,12,11,15,15,28,Right-Back,1750000,summer,Super Lig,2015
168,67,France,74,76,Left,2015.0,74,68,52,73,59,78,71,73,60,76,81,82,79,73,86,73,53,80,48,62,57,41,69,73,68,,34,43,32,6,9,15,10,13,27,Right Winger,2400000,summer,Ligue 1,2015
173,68,Turkey,74,75,Right,2018.0,73,58,55,72,54,80,69,60,65,76,84,80,79,68,78,68,74,71,61,63,65,33,70,67,64,,38,37,38,9,10,10,5,10,28,Left Winger,2500000,summer,Super Lig,2015
193,89,Brazil,74,75,Right,2016.0,29,28,74,54,24,41,24,42,64,52,42,37,45,66,39,58,84,76,91,39,78,82,29,35,54,,78,74,68,14,11,12,13,14,27,Centre-Back,2500000,summer,Eredivisie,2015
187,78,Chile,74,74,Right,2016.0,50,77,79,64,75,65,67,71,44,73,68,74,62,75,60,77,91,66,78,60,77,27,79,54,75,,25,25,25,3,3,3,3,3,30,Centre-Forward,2000000,winter,Serie A,2015
187,82,Italy,74,74,Right,2017.0,39,38,71,52,38,39,41,40,58,47,63,65,58,63,52,64,79,60,81,59,79,79,37,38,49,,77,79,75,4,4,4,4,4,30,Centre-Back,2500000,summer,Serie A,2015
173,70,Argentina,73,85,Right,2019.0,68,78,65,74,68,76,68,71,61,72,80,80,81,71,82,80,79,80,52,78,48,34,69,70,71,,42,49,41,13,13,7,7,11,21,Centre-Forward,20000000,summer,Laliga,2015
187,79,Netherlands,73,85,Left,2016.0,70,54,56,72,66,82,69,44,67,84,85,87,78,69,70,74,48,62,67,56,42,25,52,71,49,,21,31,28,11,6,14,9,6,20,Left Winger,3000000,summer,Serie A,2015
185,78,Netherlands,73,83,Left,2015.0,42,32,71,66,32,55,32,34,71,63,75,72,66,72,61,59,84,68,79,30,75,68,40,44,40,,74,75,69,8,8,13,13,8,20,Centre-Back,5000000,summer,Ligue 1,2015
182,70,Italy,73,83,Right,2017.0,68,54,61,78,70,73,71,72,76,77,69,75,74,71,72,70,68,74,69,69,72,63,62,76,62,,61,68,63,10,11,12,6,5,23,Central Midfield,6000000,summer,Serie A,2015
193,80,Belgium,73,81,Right,2016.0,67,70,72,76,71,71,67,69,69,77,66,67,60,72,55,70,57,71,76,53,33,32,77,83,65,,24,28,31,12,5,8,14,10,22,Attacking Midfield,4250000,summer,Jupiler Pro League,2015
184,78,Netherlands,73,80,Right,2016.0,59,73,62,73,69,72,64,48,64,66,78,84,74,68,51,80,80,75,74,70,65,35,80,67,61,,25,23,25,15,12,14,13,9,22,Centre-Forward,2500000,summer,1 Bundesliga,2015
179,81,Nigeria,72,77,Right,2017.0,47,71,75,58,63,68,48,44,49,69,76,77,74,71,68,84,91,75,82,63,59,39,69,47,68,,25,24,22,9,10,14,14,6,24,Centre-Forward,4500000,summer,1 Bundesliga,2015
182,84,Australia,73,79,Right,2016.0,25,25,25,39,25,25,25,25,44,33,62,58,62,77,60,25,80,36,84,25,42,25,25,25,38,,25,25,25,74,73,71,72,74,23,Goalkeeper,7000000,summer,Laliga,2015
182,80,Ghana,73,78,Right,2018.0,69,72,76,75,73,76,73,70,59,75,77,78,81,76,70,75,62,64,73,74,74,32,64,70,73,,22,21,24,5,7,6,15,7,23,Centre-Forward,12000000,summer,Premier League,2015
180,73,Czech Republic,73,78,Right,2015.0,62,77,58,63,68,69,62,57,55,74,80,83,75,73,67,75,80,69,56,69,52,30,78,57,78,,25,27,33,9,10,11,12,14,23,Centre-Forward,8400000,summer,Premier League,2015
