height_cm,weight_kg,nationality,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,contract_valid_until,position_group,age,fee,window,league,season,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
183,75,Italy,72,73,Right,1,3,2,2022,midfielder,27,2000000,summer,Serie A,2022,64,58,63,76,60,74,64,58,75,76,66,62,64,71,66,70,55,66,59,67,67,72,68,72,63,66,63,69,64,12,6,15,8,8
180,78,Jamaica,72,72,Right,1,3,3,2022,attacker,31,1800000,summer,Super League 1,2022,61,74,65,64,68,69,57,44,54,69,78,84,77,73,74,78,72,71,73,62,70,33,75,67,74,72,27,23,20,11,16,11,9,14
186,73,Denmark,66,69,Right,1,3,1,2022,goalkeeper,26,1080000,summer,Superliga,2022,18,11,14,42,17,14,18,20,38,36,47,48,43,59,62,52,66,36,64,17,18,23,14,60,24,42,17,16,18,67,63,69,64,67
180,67,Morocco,75,78,Right,2,3,5,2022,midfielder,25,12000000,summer,Ger Bundesliga,2022,65,64,44,74,63,82,67,54,70,78,79,74,86,74,75,54,48,72,42,60,46,29,69,73,68,64,44,44,27,15,13,10,13,6
180,67,Morocco,75,78,Right,2,3,5,2022,midfielder,25,12000000,summer,Ligue 1,2022,65,64,44,74,63,82,67,54,70,78,79,74,86,74,75,54,48,72,42,60,46,29,69,73,68,64,44,44,27,15,13,10,13,6
174,71,England,77,81,Right,1,4,4,2022,attacker,24,30000000,summer,Ger Bundesliga,2022,73,74,48,72,60,83,69,51,53,80,87,83,90,69,85,77,64,75,55,70,62,32,75,72,62,76,27,23,24,12,12,9,15,6
174,71,England,77,81,Right,1,4,4,2022,attacker,24,9200000,summer,Serie A,2022,73,74,48,72,60,83,69,51,53,80,87,83,90,69,85,77,64,75,55,70,62,32,75,72,62,76,27,23,24,12,12,9,15,6
186,79,Germany,76,82,Right,1,3,3,2022,midfielder,23,5000000,summer,Ger Bundesliga,2022,64,56,49,82,39,75,49,44,77,77,66,74,68,76,72,70,57,78,76,63,55,70,68,77,38,74,71,73,65,14,10,10,8,7
186,79,Germany,76,82,Right,1,3,3,2022,midfielder,23,4500000,summer,Ger Bundesliga,2022,64,56,49,82,39,75,49,44,77,77,66,74,68,76,72,70,57,78,76,63,55,70,68,77,38,74,71,73,65,14,10,10,8,7
177,71,England,76,78,Right,2,3,4,2022,midfielder,25,6000000,summer,Premier League,2022,69,58,50,75,44,74,64,36,68,75,79,83,79,73,71,69,66,80,69,66,69,71,70,70,69,73,71,75,72,15,9,7,10,13
177,71,England,76,78,Right,2,3,4,2022,midfielder,24,6000000,summer,Premier League,2022,69,58,50,75,44,74,64,36,68,75,79,83,79,73,71,69,66,80,69,66,69,71,70,70,69,73,71,75,72,15,9,7,10,13
184,76,France,80,83,Right,3,4,4,2022,attacker,26,15000000,summer,Premier League,2022,73,79,70,77,76,87,84,54,60,84,87,84,82,78,79,83,73,67,74,74,54,34,78,75,80,78,26,33,31,9,8,8,15,11
188,72,Italy,74,80,Right,1,3,3,2022,attacker,23,15000000,summer,Serie A,2022,45,77,74,64,74,68,52,54,40,74,73,73,69,73,74,79,74,70,75,71,55,16,77,45,77,62,15,30,24,14,10,15,7,11
187,81,Poland,70,71,Left,1,3,3,2022,defender,27,2300000,summer,Serie A,2022,69,56,62,66,48,73,51,45,60,70,79,78,63,68,52,60,83,67,67,54,58,65,70,68,62,65,64,68,65,8,12,13,10,10
187,81,Poland,70,71,Left,1,3,3,2022,defender,27,3900000,summer,Serie A,2022,69,56,62,66,48,73,51,45,60,70,79,78,63,68,52,60,83,67,67,54,58,65,70,68,62,65,64,68,65,8,12,13,10,10
182,74,Iran,68,79,Right,1,4,2,2022,attacker,21,3000000,summer,Super Lig,2022,61,68,64,59,57,73,60,46,47,66,82,85,80,56,69,77,74,65,76,65,67,28,66,55,62,62,32,38,31,12,12,15,9,11
195,94,Norway,77,80,Left,1,4,3,2022,attacker,26,14000000,summer,Ger Bundesliga,2022,66,75,79,68,69,70,74,60,59,75,75,87,56,74,56,83,65,83,88,70,74,36,78,69,70,79,39,23,21,15,12,8,8,10
195,94,Norway,77,80,Left,1,4,3,2022,attacker,26,1500000,summer,Laliga,2022,66,75,79,68,69,70,74,60,59,75,75,87,56,74,56,83,65,83,88,70,74,36,78,69,70,79,39,23,21,15,12,8,8,10
175,65,France,67,79,Left,1,3,3,2022,midfielder,21,1200000,summer,Ligue 1,2022,58,44,57,73,40,72,58,43,70,72,67,64,77,69,79,60,57,59,58,43,57,59,58,71,51,66,55,59,54,14,10,6,7,9
175,65,France,67,79,Left,1,3,3,2022,midfielder,21,1200000,summer,Super League 1,2022,58,44,57,73,40,72,58,43,70,72,67,64,77,69,79,60,57,59,58,43,57,59,58,71,51,66,55,59,54,14,10,6,7,9
185,75,England,74,78,Right,1,3,3,2022,defender,25,3500000,summer,Premier League,2022,52,26,71,75,41,66,45,37,70,70,74,87,72,74,66,53,74,67,75,34,76,73,52,61,50,77,73,75,73,5,8,5,13,12
185,75,England,74,78,Right,1,3,3,2022,defender,24,3500000,summer,Premier League,2022,52,26,71,75,41,66,45,37,70,70,74,87,72,74,66,53,74,67,75,34,76,73,52,61,50,77,73,75,73,5,8,5,13,12
181,66,Kosovo,70,73,Right,1,3,4,2022,midfielder,25,2500000,summer,Super Lig,2022,69,63,43,70,59,72,69,67,70,71,80,76,82,66,79,73,44,71,62,69,49,18,65,71,60,68,26,27,15,9,15,16,10,8
185,74,England,73,76,Left,1,3,2,2022,defender,26,4700000,summer,Scottish Premiership,2022,61,36,72,71,43,60,44,40,68,66,68,69,65,70,62,42,80,65,79,39,65,72,37,37,48,71,78,74,72,6,15,10,15,6
170,66,Scotland,72,82,Right,1,3,3,2022,midfielder,21,8300000,summer,Premier League,2022,60,53,50,77,59,72,58,54,74,74,71,64,76,75,77,49,58,67,44,58,65,70,58,74,53,69,66,73,64,9,7,9,12,10
186,78,France,79,79,Left,2,3,1,2022,goalkeeper,31,4000000,summer,Laliga,2022,13,11,10,22,10,11,20,19,25,23,44,40,36,76,30,58,62,34,67,10,23,24,10,41,20,63,17,11,12,79,77,77,79,80
186,78,France,79,79,Left,2,3,1,2022,goalkeeper,31,4000000,summer,Ligue 1,2022,13,11,10,22,10,11,20,19,25,23,44,40,36,76,30,58,62,34,67,10,23,24,10,41,20,63,17,11,12,79,77,77,79,80
186,78,France,79,79,Left,2,3,1,2022,goalkeeper,31,2000000,winter,Ligue 1,2022,13,11,10,22,10,11,20,19,25,23,44,40,36,76,30,58,62,34,67,10,23,24,10,41,20,63,17,11,12,79,77,77,79,80
180,72,Ghana,71,72,Left,1,4,3,2022,defender,28,1200000,summer,Premier League,2022,71,52,66,65,41,68,74,27,66,71,74,76,68,66,72,68,72,73,70,54,71,68,64,60,42,67,64,70,70,12,11,6,11,10
188,75,United States,66,76,Right,1,3,2,2022,defender,21,4000000,summer,Jupiler Pro League,2022,68,47,58,62,39,60,47,24,51,60,69,71,64,67,53,49,72,72,63,42,52,62,50,62,54,53,62,65,56,14,13,9,7,13
188,75,United States,66,76,Right,1,3,2,2022,defender,21,4000000,summer,Serie A,2022,68,47,58,62,39,60,47,24,51,60,69,71,64,67,53,49,72,72,63,42,52,62,50,62,54,53,62,65,56,14,13,9,7,13
173,69,Switzerland,69,78,Right,1,3,3,2022,midfielder,23,1000000,summer,Jupiler Pro League,2022,55,62,54,70,55,72,56,62,68,69,74,62,81,67,84,61,64,72,69,71,63,66,65,71,54,64,64,64,64,8,9,11,7,14
173,69,Switzerland,69,78,Right,1,3,3,2022,midfielder,23,1000000,winter,Jupiler Pro League,2022,55,62,54,70,55,72,56,62,68,69,74,62,81,67,84,61,64,72,69,71,63,66,65,71,54,64,64,64,64,8,9,11,7,14
173,69,Switzerland,69,78,Right,1,3,3,2022,midfielder,23,1000000,summer,Liga Portugal,2022,55,62,54,70,55,72,56,62,68,69,74,62,81,67,84,61,64,72,69,71,63,66,65,71,54,64,64,64,64,8,9,11,7,14
175,72,Germany,68,77,Left,1,4,3,2022,midfielder,21,4500000,summer,Eredivisie,2022,61,61,49,70,55,75,60,60,65,73,74,67,83,61,83,79,51,70,58,65,59,49,56,66,59,64,50,54,49,11,7,8,8,7
175,72,Germany,68,77,Left,1,4,3,2022,midfielder,21,4500000,summer,Ger Bundesliga,2022,61,61,49,70,55,75,60,60,65,73,74,67,83,61,83,79,51,70,58,65,59,49,56,66,59,64,50,54,49,11,7,8,8,7
183,92,United States,72,81,Right,1,3,2,2022,defender,24,7000000,summer,Scottish Premiership,2022,37,19,72,71,26,59,24,30,65,63,70,72,67,68,66,48,75,72,84,16,72,73,27,41,38,68,69,71,67,13,6,8,16,10
177,65,Republic of Ireland,63,74,Right,1,3,2,2022,midfielder,23,1800000,summer,Premier League,2022,45,45,56,67,41,60,49,44,65,63,64,56,69,58,74,52,68,77,57,57,67,59,54,63,60,67,56,59,55,11,9,13,12,7
184,83,Nigeria,75,76,Right,1,4,3,2022,attacker,27,5000000,summer,Jupiler Pro League,2022,44,77,72,66,69,70,45,47,55,72,73,77,70,78,64,77,78,74,82,68,56,17,76,58,66,75,42,16,14,14,11,11,12,10
184,83,Nigeria,75,76,Right,1,4,3,2022,attacker,27,6500000,summer,Serie A,2022,44,77,72,66,69,70,45,47,55,72,73,77,70,78,64,77,78,74,82,68,56,17,76,58,66,75,42,16,14,14,11,11,12,10
186,80,Turkey,67,73,Left,1,2,2,2022,defender,22,1300000,summer,Super Lig,2022,63,30,64,64,34,65,56,54,58,64,72,69,63,63,56,52,72,65,70,40,67,62,47,50,40,49,61,66,70,10,8,6,12,9
173,66,Turkey,79,82,Left,1,4,4,2022,attacker,24,11400000,summer,Ligue 1,2022,81,77,63,74,70,80,83,68,65,82,84,77,84,78,82,78,47,73,50,80,37,29,75,76,73,68,43,33,30,9,13,7,9,8
173,66,Turkey,79,82,Left,1,4,4,2022,attacker,24,20000000,summer,Serie A,2022,81,77,63,74,70,80,83,68,65,82,84,77,84,78,82,78,47,73,50,80,37,29,75,76,73,68,43,33,30,9,13,7,9,8
181,75,France,64,74,Right,1,3,2,2022,defender,22,1500000,summer,Ligue 1,2022,26,27,73,55,28,47,36,27,48,55,53,56,36,57,54,48,82,64,61,26,48,64,32,32,44,52,68,67,66,14,7,5,7,9
180,73,North Macedonia,67,77,Right,1,3,3,2022,attacker,21,2200000,summer,Ger Bundesliga,2022,61,68,57,63,62,75,67,60,54,71,79,76,83,69,78,67,34,66,47,64,65,48,69,65,64,67,45,56,50,13,7,7,14,11
190,80,Ukraine,72,78,Right,1,3,2,2022,midfielder,25,1500000,summer,Premier Liga Ukr,2022,48,39,71,69,41,59,39,34,67,66,49,54,53,71,49,63,55,64,85,42,86,73,53,63,46,67,70,74,73,13,8,8,15,11
183,80,Germany,76,77,Right,2,3,3,2022,midfielder,28,1500000,summer,Ger Bundesliga,2022,42,58,71,74,45,69,51,48,66,73,74,78,66,73,69,77,74,81,77,67,86,74,52,68,47,69,78,75,76,6,11,9,10,7
183,80,Germany,76,77,Right,2,3,3,2022,midfielder,28,3500000,summer,Ger Bundesliga,2022,42,58,71,74,45,69,51,48,66,73,74,78,66,73,69,77,74,81,77,67,86,74,52,68,47,69,78,75,76,6,11,9,10,7
186,78,Netherlands,71,73,Right,1,3,2,2022,defender,26,1200000,summer,Eredivisie,2022,56,48,72,68,32,67,67,70,67,69,70,79,65,67,59,81,86,73,83,67,77,64,58,62,46,63,68,69,67,9,10,9,7,6
187,77,Belgium,74,78,Left,2,3,4,2022,attacker,24,15000000,summer,Ger Bundesliga,2022,66,71,55,68,66,80,68,65,60,76,82,85,77,74,71,81,68,71,68,70,28,26,68,67,69,72,31,29,24,9,7,14,11,12
181,78,Belgium,78,78,Right,2,4,4,2022,midfielder,28,7000000,summer,Premier League,2022,74,70,62,82,70,81,75,67,78,80,68,67,74,77,67,76,61,74,62,78,66,64,77,79,56,79,58,67,60,6,6,10,10,10
185,71,Ukraine,65,79,Right,1,2,2,2022,attacker,21,4000000,summer,Premier Liga Ukr,2022,31,69,58,64,57,66,33,31,46,64,75,73,68,64,66,58,66,58,59,65,36,16,65,43,58,53,14,19,11,14,7,12,8,14
184,71,England,73,81,Right,1,3,3,2022,defender,22,8000000,winter,Ligue 1,2022,67,38,48,65,27,74,49,28,38,71,87,89,80,71,66,50,60,78,63,41,46,69,50,44,37,54,67,68,63,13,8,7,11,6
184,71,England,73,81,Right,1,3,3,2022,defender,21,14700000,summer,Premier League,2022,67,38,48,65,27,74,49,28,38,71,87,89,80,71,66,50,60,78,63,41,46,69,50,44,37,54,67,68,63,13,8,7,11,6
178,86,Germany,75,78,Right,1,5,3,2022,attacker,25,10000000,summer,Premier League,2022,67,81,64,72,74,73,74,65,60,76,69,68,67,72,82,78,66,70,83,77,73,18,81,75,74,80,25,37,29,9,12,9,11,13
189,81,Slovakia,72,77,Right,1,3,2,2022,defender,26,3000000,summer,Serie A,2022,32,40,73,68,38,55,40,58,66,63,58,68,50,63,64,72,70,65,85,60,76,70,54,48,55,67,70,71,71,13,12,14,12,13
189,81,Slovakia,72,77,Right,1,3,2,2022,defender,26,4500000,summer,Superliga,2022,32,40,73,68,38,55,40,58,66,63,58,68,50,63,64,72,70,65,85,60,76,70,54,48,55,67,70,71,71,13,12,14,12,13
177,76,Netherlands,73,78,Right,1,3,2,2022,defender,24,1200000,summer,Ger Bundesliga,2022,72,33,60,62,38,70,48,39,57,65,78,86,74,65,76,60,90,80,77,29,85,72,56,57,46,62,65,74,73,6,5,6,10,10
177,76,Netherlands,73,78,Right,1,3,2,2022,defender,24,1200000,winter,Serie A,2022,72,33,60,62,38,70,48,39,57,65,78,86,74,65,76,60,90,80,77,29,85,72,56,57,46,62,65,74,73,6,5,6,10,10
175,66,Portugal,70,79,Right,1,3,3,2022,midfielder,22,1800000,summer,Laliga,2022,56,65,34,72,54,73,63,50,71,74,72,67,76,64,82,74,50,58,34,70,69,46,64,67,48,62,44,47,45,12,11,8,12,6
180,73,Turkey,73,73,Left,1,3,3,2022,midfielder,29,1800000,summer,Super Lig,2022,69,70,62,75,68,72,76,74,75,73,68,69,67,70,67,77,58,71,54,76,64,51,76,74,75,72,57,55,45,14,11,6,11,8
182,75,Gambia,67,76,Right,1,3,2,2022,attacker,22,2600000,summer,Serie A,2022,41,68,63,62,46,72,43,37,45,71,82,79,63,61,65,64,63,53,54,65,37,18,63,54,70,57,18,14,17,6,7,6,12,5
182,75,Gambia,67,76,Right,1,3,2,2022,attacker,22,2600000,summer,Super Lig,2022,41,68,63,62,46,72,43,37,45,71,82,79,63,61,65,64,63,53,54,65,37,18,63,54,70,57,18,14,17,6,7,6,12,5
188,91,Germany,70,75,Right,1,4,3,2022,midfielder,25,4500000,summer,Ger Bundesliga,2022,62,52,70,72,47,70,64,73,66,71,51,54,38,74,60,88,62,84,89,69,82,66,63,72,36,63,71,72,65,5,10,5,12,13
187,81,Germany,67,84,Right,1,3,2,2022,midfielder,20,1200000,summer,Ger Bundesliga,2022,50,38,65,65,35,53,43,43,61,63,65,67,67,58,69,62,73,73,70,55,74,65,38,58,38,55,65,70,68,5,10,13,5,15
187,81,Germany,67,84,Right,1,3,2,2022,midfielder,20,9000000,summer,Ger Bundesliga,2022,50,38,65,65,35,53,43,43,61,63,65,67,67,58,69,62,73,73,70,55,74,65,38,58,38,55,65,70,68,5,10,13,5,15
169,60,Turkey,72,77,Left,1,3,4,2022,attacker,24,3300000,summer,Laliga,2022,60,65,46,65,69,83,68,47,56,75,87,84,91,66,89,67,64,59,31,68,68,28,69,67,50,68,30,28,33,13,10,7,13,6
169,60,Turkey,72,77,Left,1,3,4,2022,attacker,24,3300000,summer,Super Lig,2022,60,65,46,65,69,83,68,47,56,75,87,84,91,66,89,67,64,59,31,68,68,28,69,67,50,68,30,28,33,13,10,7,13,6
169,60,Turkey,72,77,Left,1,3,4,2022,attacker,24,2000000,summer,Super Lig,2022,60,65,46,65,69,83,68,47,56,75,87,84,91,66,89,67,64,59,31,68,68,28,69,67,50,68,30,28,33,13,10,7,13,6
183,73,England,67,80,Right,1,4,3,2022,attacker,21,6000000,winter,Premier League,2022,45,69,64,58,60,64,55,51,44,63,75,74,68,62,66,68,62,64,78,58,63,21,68,52,64,65,19,24,19,13,10,14,11,9
178,70,England,67,82,Right,1,4,3,2022,attacker,21,30000000,summer,Ligue 1,2022,40,69,57,62,62,67,43,37,50,67,79,76,74,66,64,66,56,63,67,59,49,18,67,47,58,64,18,15,16,10,12,12,13,10
182,79,Italy,70,77,Left,1,3,3,2022,attacker,25,4000000,summer,Serie A,2022,49,70,68,63,68,70,60,53,55,73,69,69,68,69,54,71,60,55,69,68,43,26,72,48,60,58,21,22,29,8,13,10,8,7
182,79,Italy,70,77,Left,1,3,3,2022,attacker,25,5000000,summer,Serie A,2022,49,70,68,63,68,70,60,53,55,73,69,69,68,69,54,71,60,55,69,68,43,26,72,48,60,58,21,22,29,8,13,10,8,7
181,74,Italy,78,78,Right,1,4,3,2022,attacker,35,1500000,winter,Serie A,2022,50,83,74,70,80,76,58,54,58,78,81,82,85,80,79,76,84,70,70,70,50,14,84,65,78,72,40,20,15,14,7,10,11,11
181,74,Italy,78,78,Right,1,4,3,2022,attacker,34,4000000,summer,Serie A,2022,50,83,74,70,80,76,58,54,58,78,81,82,85,80,79,76,84,70,70,70,50,14,84,65,78,72,40,20,15,14,7,10,11,11
181,74,Italy,78,78,Right,1,4,3,2022,attacker,34,1500000,summer,Serie A,2022,50,83,74,70,80,76,58,54,58,78,81,82,85,80,79,76,84,70,70,70,50,14,84,65,78,72,40,20,15,14,7,10,11,11
182,71,Italy,72,75,Right,1,3,3,2022,defender,25,3000000,summer,Serie A,2022,76,50,62,74,48,72,73,44,71,74,75,74,69,74,72,62,35,67,52,47,64,68,65,64,65,65,67,72,73,8,10,5,6,13
175,60,Mali,68,69,Left,1,2,3,2022,attacker,26,3600000,summer,Super Lig,2022,63,64,59,66,68,74,61,43,56,68,88,87,89,63,88,66,51,62,34,61,34,20,68,60,67,60,20,21,22,9,12,7,12,7
175,60,Mali,68,69,Left,1,2,3,2022,attacker,26,3600000,summer,Super Liga Srbije,2022,63,64,59,66,68,74,61,43,56,68,88,87,89,63,88,66,51,62,34,61,34,20,68,60,67,60,20,21,22,9,12,7,12,7
178,78,France,78,79,Right,1,3,3,2022,defender,28,4500000,winter,Ligue 1,2022,75,40,72,74,32,71,58,42,67,73,78,79,69,73,84,68,82,83,77,49,78,76,67,63,44,74,71,77,76,8,14,16,13,7
178,78,France,78,79,Right,1,3,3,2022,defender,27,4500000,summer,Premier League,2022,75,40,72,74,32,71,58,42,67,73,78,79,69,73,84,68,82,83,77,49,78,76,67,63,44,74,71,77,76,8,14,16,13,7
186,74,Italy,64,73,Right,1,2,2,2022,midfielder,23,1500000,summer,Jupiler Pro League,2022,59,49,49,68,50,64,59,57,68,66,57,57,66,63,67,66,51,60,53,47,49,52,58,69,64,61,59,61,60,12,13,6,7,7
186,74,Italy,64,73,Right,1,2,2,2022,midfielder,23,1500000,summer,Serie A,2022,59,49,49,68,50,64,59,57,68,66,57,57,66,63,67,66,51,60,53,47,49,52,58,69,64,61,59,61,60,12,13,6,7,7
179,68,Mali,74,75,Right,1,3,3,2022,defender,27,4000000,summer,Liga Portugal,2022,66,43,64,67,45,70,59,34,58,71,91,93,79,70,73,53,81,91,63,38,65,69,67,56,41,75,67,68,66,9,8,12,10,15
179,68,Mali,74,75,Right,1,3,3,2022,defender,27,4000000,summer,Ligue 1,2022,66,43,64,67,45,70,59,34,58,71,91,93,79,70,73,53,81,91,63,38,65,69,67,56,41,75,67,68,66,9,8,12,10,15
176,72,Italy,77,77,Right,2,4,3,2022,attacker,28,3200000,summer,Serie A,2022,72,74,49,76,66,82,78,75,71,80,89,79,91,75,89,75,40,70,54,73,39,30,74,77,54,71,29,23,22,9,8,14,6,11
176,72,Italy,77,77,Right,2,4,3,2022,attacker,28,5000000,summer,Serie A,2022,72,74,49,76,66,82,78,75,71,80,89,79,91,75,89,75,40,70,54,73,39,30,74,77,54,71,29,23,22,9,8,14,6,11
176,72,Italy,77,77,Right,2,4,3,2022,attacker,28,8000000,summer,Serie A,2022,72,74,49,76,66,82,78,75,71,80,89,79,91,75,89,75,40,70,54,73,39,30,74,77,54,71,29,23,22,9,8,14,6,11
183,78,Georgia,69,75,Right,1,3,4,2022,midfielder,22,2200000,summer,Jupiler Pro League,2022,69,62,39,71,64,73,76,59,67,73,72,70,74,60,71,75,71,34,63,67,38,30,67,70,58,59,29,41,32,10,8,13,8,13
182,76,Argentina,76,76,Right,1,3,3,2022,midfielder,29,2000000,winter,Laliga,2022,68,66,63,77,59,69,63,52,76,77,66,66,63,72,70,79,74,77,71,63,83,75,64,70,64,80,73,75,75,10,12,7,12,11
182,76,Argentina,76,76,Right,1,3,3,2022,midfielder,29,2000000,summer,Serie A,2022,68,66,63,77,59,69,63,52,76,77,66,66,63,72,70,79,74,77,71,63,83,75,64,70,64,80,73,75,75,10,12,7,12,11
182,76,Argentina,76,76,Right,1,3,3,2022,midfielder,29,2000000,winter,Serie A,2022,68,66,63,77,59,69,63,52,76,77,66,66,63,72,70,79,74,77,71,63,83,75,64,70,64,80,73,75,75,10,12,7,12,11
187,70,Italy,70,81,Left,1,3,2,2022,defender,23,1400000,summer,Serie A,2022,72,50,59,72,59,69,63,43,67,73,67,70,61,63,57,59,53,64,68,63,59,60,58,61,43,60,64,73,73,8,6,14,12,8
179,71,Cyprus,67,74,Left,1,3,3,2022,midfielder,24,1800000,summer,Serie A,2022,54,54,36,68,55,73,62,65,67,75,70,68,68,60,77,68,37,58,68,63,52,28,62,68,48,65,26,27,30,8,6,7,8,7
174,65,Greece,64,81,Right,1,5,4,2022,midfielder,19,8000000,summer,Super League 1,2022,60,59,45,65,51,73,54,55,62,69,71,74,70,52,77,54,59,43,35,57,52,28,62,59,56,71,29,38,37,6,7,10,6,14
