sofifa_id,player_url,short_name,long_name,age_x,dob,height_cm,weight_kg,nationality_x,club_name,league_name,league_rank,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,club,name,age_y,nationality_y,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
190813,https://sofifa.com/player/190813/stephan-el-shaarawy/150002,S. El Shaarawy,Stephan El Shaarawy,21,1992-10-27,178,72,Italy,Milan,Italian Serie A,1.0,80,87,9500000,100000,LW,Right,3,4,4,High/High,Lean,Yes,,,SUB,92.0,,2011-07-01,2018.0,SUB,11.0,87.0,76.0,72.0,84.0,33.0,60.0,,,,,,,"Injury Prone, Finesse Shot, Speed Dribbler (AI)",73,77,53,73,77,83,85,70,55,87,88,86,84,71,83,75,60,74,55,72,53,40,79,77,73,,24,34,24,4,2,4,4,2,AS Roma,Stephan El Shaarawy,23,Italy,Left Winger,LW,5000000.0,AC Milan,Italy,1400000.0,in,winter,Serie A,2015,True,loan with fee
192387,https://sofifa.com/player/192387/ciro-immobile/150002,C. Immobile,Ciro Immobile,24,1990-02-20,181,85,Italy,Borussia Dortmund,German 1. Bundesliga,1.0,80,85,13000000,100000,ST,Right,2,4,3,High/Medium,Normal,Yes,,,ST,9.0,,2014-07-01,2019.0,RS,9.0,78.0,80.0,60.0,76.0,32.0,78.0,,,,,,,"Diver, Avoids Using Weaker Foot, Beat Offside Trap, Finesse Shot",54,85,79,70,80,74,69,50,48,78,76,80,77,84,66,79,78,77,77,70,81,28,86,60,74,,20,32,28,5,7,14,11,5,Borussia Dortmund,Ciro Immobile,25,Italy,Centre-Forward,CF,15000000.0,Sevilla FC,Spain,15000000.0,in,winter,Ger Bundesliga,2015,True,end of loan
192387,https://sofifa.com/player/192387/ciro-immobile/150002,C. Immobile,Ciro Immobile,24,1990-02-20,181,85,Italy,Borussia Dortmund,German 1. Bundesliga,1.0,80,85,13000000,100000,ST,Right,2,4,3,High/Medium,Normal,Yes,,,ST,9.0,,2014-07-01,2019.0,RS,9.0,78.0,80.0,60.0,76.0,32.0,78.0,,,,,,,"Diver, Avoids Using Weaker Foot, Beat Offside Trap, Finesse Shot",54,85,79,70,80,74,69,50,48,78,76,80,77,84,66,79,78,77,77,70,81,28,86,60,74,,20,32,28,5,7,14,11,5,Sevilla FC,Ciro Immobile,25,Italy,Centre-Forward,CF,15000000.0,Bor. Dortmund,Germany,3000000.0,in,summer,Laliga,2015,True,loan with fee
192387,https://sofifa.com/player/192387/ciro-immobile/150002,C. Immobile,Ciro Immobile,24,1990-02-20,181,85,Italy,Borussia Dortmund,German 1. Bundesliga,1.0,80,85,13000000,100000,ST,Right,2,4,3,High/Medium,Normal,Yes,,,ST,9.0,,2014-07-01,2019.0,RS,9.0,78.0,80.0,60.0,76.0,32.0,78.0,,,,,,,"Diver, Avoids Using Weaker Foot, Beat Offside Trap, Finesse Shot",54,85,79,70,80,74,69,50,48,78,76,80,77,84,66,79,78,77,77,70,81,28,86,60,74,,20,32,28,5,7,14,11,5,Sevilla FC,Ciro Immobile,25,Italy,Centre-Forward,CF,15000000.0,Bor. Dortmund,Germany,11000000.0,in,winter,Laliga,2015,False,
192387,https://sofifa.com/player/192387/ciro-immobile/150002,C. Immobile,Ciro Immobile,24,1990-02-20,181,85,Italy,Borussia Dortmund,German 1. Bundesliga,1.0,80,85,13000000,100000,ST,Right,2,4,3,High/Medium,Normal,Yes,,,ST,9.0,,2014-07-01,2019.0,RS,9.0,78.0,80.0,60.0,76.0,32.0,78.0,,,,,,,"Diver, Avoids Using Weaker Foot, Beat Offside Trap, Finesse Shot",54,85,79,70,80,74,69,50,48,78,76,80,77,84,66,79,78,77,77,70,81,28,86,60,74,,20,32,28,5,7,14,11,5,Torino FC,Ciro Immobile,25,Italy,Centre-Forward,CF,15000000.0,Sevilla FC,Spain,15000000.0,in,winter,Serie A,2015,True,loan with fee
193348,https://sofifa.com/player/193348/xherdan-shaqiri/150002,X. Shaqiri,Xherdan Shaqiri,22,1991-10-10,169,72,Switzerland,FC Bayern München,German 1. Bundesliga,1.0,80,85,9500000,90000,"RM, LM, CAM",Left,2,4,4,High/Medium,Stocky,Yes,,"#Dribbler, #Acrobat",SUB,11.0,,2012-07-01,2016.0,RAM,23.0,88.0,78.0,76.0,86.0,57.0,74.0,,,,,,,"Flair, Long Shot Taker (AI), Speed Dribbler (AI)",74,75,37,79,76,86,82,78,68,84,92,84,88,80,94,84,63,78,74,81,73,65,78,78,65,,58,60,53,13,12,12,11,11,Bayern Munich,Xherdan Shaqiri,23,Switzerland,Attacking Midfield,AM,3500000.0,Inter,Italy,3500000.0,in,summer,Ger Bundesliga,2015,True,end of loan
193348,https://sofifa.com/player/193348/xherdan-shaqiri/150002,X. Shaqiri,Xherdan Shaqiri,22,1991-10-10,169,72,Switzerland,FC Bayern München,German 1. Bundesliga,1.0,80,85,9500000,90000,"RM, LM, CAM",Left,2,4,4,High/Medium,Stocky,Yes,,"#Dribbler, #Acrobat",SUB,11.0,,2012-07-01,2016.0,RAM,23.0,88.0,78.0,76.0,86.0,57.0,74.0,,,,,,,"Flair, Long Shot Taker (AI), Speed Dribbler (AI)",74,75,37,79,76,86,82,78,68,84,92,84,88,80,94,84,63,78,74,81,73,65,78,78,65,,58,60,53,13,12,12,11,11,Stoke City,Xherdan Shaqiri,23,Switzerland,Attacking Midfield,AM,3500000.0,Inter,Italy,17000000.0,in,summer,Premier League,2015,False,
193348,https://sofifa.com/player/193348/xherdan-shaqiri/150002,X. Shaqiri,Xherdan Shaqiri,22,1991-10-10,169,72,Switzerland,FC Bayern München,German 1. Bundesliga,1.0,80,85,9500000,90000,"RM, LM, CAM",Left,2,4,4,High/Medium,Stocky,Yes,,"#Dribbler, #Acrobat",SUB,11.0,,2012-07-01,2016.0,RAM,23.0,88.0,78.0,76.0,86.0,57.0,74.0,,,,,,,"Flair, Long Shot Taker (AI), Speed Dribbler (AI)",74,75,37,79,76,86,82,78,68,84,92,84,88,80,94,84,63,78,74,81,73,65,78,78,65,,58,60,53,13,12,12,11,11,Inter Milan,Xherdan Shaqiri,23,Switzerland,Attacking Midfield,AM,3500000.0,Bayern Munich,Germany,15000000.0,in,summer,Serie A,2015,False,
202166,https://sofifa.com/player/202166/julian-draxler/150002,J. Draxler,Julian Draxler,20,1993-09-20,187,75,Germany,FC Schalke 04,German 1. Bundesliga,1.0,80,85,9500000,80000,"LM, CAM, RM",Right,2,5,4,Medium/Medium,Lean,Yes,,#Dribbler,CAM,10.0,,2011-01-15,2018.0,SUB,11.0,78.0,78.0,78.0,84.0,34.0,61.0,,,,,,,"Finesse Shot, Flair, Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI)",78,75,58,82,79,86,78,72,74,84,78,78,84,81,75,81,67,69,62,85,49,38,76,75,62,,25,35,26,11,13,5,13,8,VfL Wolfsburg,Julian Draxler,21,Germany,Left Winger,LW,6000000.0,FC Schalke 04,Germany,43000000.0,in,summer,Ger Bundesliga,2015,False,
177358,https://sofifa.com/player/177358/morgan-schneiderlin/150002,M. Schneiderlin,Morgan Schneiderlin,24,1989-11-08,181,75,France,Southampton,English Premier League,1.0,80,84,10000000,60000,"CDM, CM",Right,2,3,2,Medium/High,Normal,Yes,,,CDM,4.0,,2008-06-01,2017.0,SUB,22.0,68.0,63.0,71.0,72.0,78.0,81.0,,,,,,,Dives Into Tackles (AI),55,64,60,82,50,71,54,54,81,74,72,64,70,78,66,71,75,90,76,56,85,83,67,70,56,,74,83,79,6,11,12,14,7,Manchester United,Morgan Schneiderlin,25,France,Defensive Midfield,DM,1500000.0,Southampton,England,35000000.0,in,summer,Premier League,2015,False,
188943,https://sofifa.com/player/188943/kevin-trapp/150002,K. Trapp,Kevin Trapp,23,1990-07-08,189,83,Germany,Eintracht Frankfurt,German 1. Bundesliga,1.0,80,84,9500000,60000,GK,Right,2,4,1,Medium/Medium,Normal,No,,,GK,1.0,,2012-07-01,2016.0,,,,,,,,,81.0,78.0,77.0,84.0,49.0,79.0,,25,25,25,25,25,25,25,25,25,24,45,52,42,79,37,28,76,45,70,25,30,22,25,25,35,,25,25,25,81,78,77,79,84,Paris Saint-Germain,Kevin Trapp,25,Germany,Goalkeeper,GK,8500000.0,E. Frankfurt,Germany,9500000.0,in,summer,Ligue 1,2015,False,
187607,https://sofifa.com/player/187607/artem-dzyuba/150002,A. Dzyuba,Artem Dzyuba,25,1988-08-22,194,91,Russia,Spartak Moscow,Russian Premier League,1.0,80,83,13500000,90000,ST,Right,1,4,3,High/Medium,Normal,No,,"#Aerial Threat, #Strength",ST,22.0,,2006-03-03,2015.0,SUB,22.0,78.0,80.0,71.0,71.0,33.0,84.0,,,,,,,,66,82,86,75,72,78,67,70,63,77,74,81,33,74,34,83,60,77,92,77,77,34,79,76,79,,24,25,25,14,11,10,10,7,Spartak Moscow,Artem Dzyuba,26,Russia,Centre-Forward,CF,3500000.0,Rostov,Russia,3500000.0,in,summer,Premier Liga,2015,True,end of loan
187607,https://sofifa.com/player/187607/artem-dzyuba/150002,A. Dzyuba,Artem Dzyuba,25,1988-08-22,194,91,Russia,Spartak Moscow,Russian Premier League,1.0,80,83,13500000,90000,ST,Right,1,4,3,High/Medium,Normal,No,,"#Aerial Threat, #Strength",ST,22.0,,2006-03-03,2015.0,SUB,22.0,78.0,80.0,71.0,71.0,33.0,84.0,,,,,,,,66,82,86,75,72,78,67,70,63,77,74,81,33,74,34,83,60,77,92,77,77,34,79,76,79,,24,25,25,14,11,10,10,7,Zenit St. Petersburg,Artem Dzyuba,26,Russia,Centre-Forward,CF,3500000.0,Spartak Moscow,Russia,3500000.0,in,summer,Premier Liga,2015,False,
193476,https://sofifa.com/player/193476/remy-cabella/150002,R. Cabella,Rémy Cabella,24,1990-03-08,172,66,France,Newcastle United,English Premier League,1.0,79,85,9000000,70000,CAM,Right,2,4,4,High/Medium,Lean,No,,,RM,20.0,,2014-07-13,2020.0,SUB,7.0,84.0,76.0,77.0,84.0,65.0,57.0,,,,,,,"Flair, Playmaker (AI), Team Player, Technical Dribbler (AI)",76,78,57,77,71,85,74,80,71,81,87,82,89,74,84,75,42,74,54,73,46,65,76,81,72,,67,68,59,11,15,11,12,6,Olympique Marseille,Rémy Cabella,25,France,Attacking Midfield,AM,5000000.0,Newcastle,England,5000000.0,in,summer,Ligue 1,2015,True,loan with fee
179605,https://sofifa.com/player/179605/adel-taarabt/150002,A. Taarabt,Adel Taarabt,25,1989-05-24,177,69,Morocco,Queens Park Rangers,English Premier League,1.0,79,83,9500000,70000,"CAM, LM",Right,2,4,5,Medium/Low,Normal,No,,,SUB,27.0,,2010-08-01,2016.0,,,80.0,73.0,76.0,84.0,31.0,62.0,,,,,,,"Selfish, Flair, Long Shot Taker (AI), Technical Dribbler (AI)",78,70,35,80,78,85,79,72,62,83,83,77,84,76,78,72,58,55,68,76,58,38,76,76,76,,28,29,29,3,5,3,3,5,SL Benfica,Adel Taarabt,26,Morocco,Central Midfield,CM,1000000.0,QPR,England,1000000.0,in,summer,Liga Portugal,2015,False,
198076,https://sofifa.com/player/198076/aymen-abdennour/150002,A. Abdennour,Aymen Abdennour,24,1989-08-06,187,84,Tunisia,AS Monaco,French Ligue 1,1.0,79,83,7500000,60000,CB,Left,2,3,2,High/High,Stocky,No,,#Strength,LCB,5.0,,2014-07-01,2018.0,,,72.0,57.0,63.0,63.0,79.0,84.0,,,,,,,Injury Free,66,50,74,71,31,58,47,38,66,68,68,76,66,76,68,74,72,75,90,65,85,79,52,52,50,,79,79,79,11,7,6,7,14,Valencia CF,Aymen Abdennour,26,Tunisia,Centre-Back,CB,,Monaco,France,22000000.0,in,summer,Laliga,2015,False,
169588,https://sofifa.com/player/169588/jonny-evans/150002,J. Evans,Jonny Evans,26,1988-01-02,189,80,Northern Ireland,Manchester United,English Premier League,1.0,79,82,8000000,110000,CB,Right,2,2,2,Low/Medium,Lean,No,,,RCB,6.0,,2006-01-01,2016.0,LCB,5.0,74.0,31.0,58.0,51.0,81.0,74.0,,,,,,,Dives Into Tackles (AI),51,27,83,77,45,38,31,24,61,67,69,78,50,81,57,41,79,74,73,24,77,81,27,44,43,,78,83,79,11,15,15,14,7,West Bromwich Albion,Jonny Evans,27,Northern Ireland,Centre-Back,CB,2000000.0,Man Utd,England,8300000.000000001,in,summer,Premier League,2015,False,
186569,https://sofifa.com/player/186569/sven-ulreich/150002,S. Ulreich,Sven Ulreich,25,1988-08-03,192,84,Germany,VfB Stuttgart,German 1. Bundesliga,1.0,79,82,7500000,60000,GK,Right,2,3,1,Medium/Medium,Lean,No,,,GK,1.0,,2008-01-02,2017.0,,,,,,,,,81.0,77.0,70.0,84.0,46.0,77.0,,25,25,25,32,25,25,25,25,32,25,44,47,37,78,39,23,66,31,64,25,24,25,25,25,21,,25,25,25,81,77,70,77,84,Bayern Munich,Sven Ulreich,26,Germany,Goalkeeper,GK,,VfB Stuttgart,Germany,3500000.0,in,summer,Ger Bundesliga,2015,False,
182879,https://sofifa.com/player/182879/balazs-dzsudzsak/150002,B. Dzsudzsák,Balázs Dzsudzsák,27,1986-12-23,179,72,Hungary,Dinamo Moscow,Russian Premier League,1.0,79,81,8000000,100000,"LM, RM",Left,3,4,4,Medium/Low,Lean,Yes,,#Crosser,SUB,7.0,,2012-01-01,2015.0,LF,7.0,81.0,79.0,77.0,77.0,26.0,65.0,,,,,,,"Long Shot Taker (AI), Technical Dribbler (AI)",88,75,41,73,72,77,84,85,71,76,83,80,83,78,70,87,63,81,66,83,43,24,70,73,80,,28,22,25,9,6,13,6,9,Bursaspor,Balázs Dzsudzsák,28,Hungary,Attacking Midfield,AM,,Dinamo Moscow,Russia,1600000.0,in,summer,Super Lig,2015,False,
138726,https://sofifa.com/player/138726/joleon-lescott/150002,J. Lescott,Joleon Lescott,31,1982-08-16,188,89,England,West Bromwich Albion,English Premier League,1.0,79,79,5000000,60000,CB,Left,2,3,2,Medium/Medium,Normal,Yes,,,SUB,6.0,,2014-07-01,2016.0,,,54.0,50.0,57.0,58.0,81.0,79.0,,,,,,,"Dives Into Tackles (AI), Power Header",58,51,85,64,44,56,41,51,59,60,53,54,57,75,46,65,80,67,85,39,81,76,38,47,47,,80,82,83,5,5,11,15,6,Aston Villa,Joleon Lescott,33,England,Centre-Back,CB,,West Brom,England,1400000.0,in,summer,Premier League,2015,False,
152747,https://sofifa.com/player/152747/aaron-lennon/150002,A. Lennon,Aaron Lennon,27,1987-04-16,165,63,England,Tottenham Hotspur,English Premier League,1.0,79,79,8000000,90000,"RM, LM",Right,2,3,3,High/Medium,Normal,Yes,,"#Speedster, #Acrobat",SUB,7.0,,2005-06-15,2016.0,,,92.0,63.0,73.0,83.0,27.0,60.0,,,,,,,Speed Dribbler (AI),79,65,27,79,67,83,62,54,53,80,94,91,94,77,92,61,71,75,52,56,56,36,76,77,61,,25,23,25,13,6,6,15,10,Everton FC,Aaron Lennon,28,England,Right Winger,RW,,Tottenham,England,6000000.0,in,summer,Premier League,2015,False,
158810,https://sofifa.com/player/158810/gokhan-inler/150002,G. Inler,Gökhan İnler,30,1984-06-27,183,80,Switzerland,Napoli,Italian Serie A,1.0,79,79,5000000,80000,"CDM, CM",Right,3,4,2,Medium/Medium,Normal,Yes,,#Distance Shooter,LDM,88.0,,2011-07-01,2016.0,LDM,8.0,67.0,72.0,77.0,73.0,75.0,77.0,,,,,,,"Injury Free, Long Passer (AI), Long Shot Taker (AI)",69,59,67,81,77,72,63,67,83,78,69,65,68,75,59,88,75,79,76,86,79,79,69,78,73,,69,79,77,10,13,5,9,4,Leicester City,Gökhan İnler,31,Switzerland,Defensive Midfield,DM,,SSC Napoli,Italy,7000000.0,in,summer,Premier League,2015,False,
161805,https://sofifa.com/player/161805/valon-behrami/150002,V. Behrami,Valon Behrami,29,1985-04-19,185,78,Switzerland,Hamburger SV,German 1. Bundesliga,1.0,79,79,6000000,60000,"CDM, CM",Right,2,4,2,Medium/High,Normal,No,,,RDM,21.0,,2014-08-03,2017.0,RDM,11.0,75.0,65.0,75.0,76.0,78.0,82.0,,,,,,,Diver,70,55,68,78,70,76,70,68,78,78,77,73,76,78,68,75,70,87,77,74,89,82,70,74,72,,70,83,86,11,10,6,14,10,Watford FC,Valon Behrami,30,Switzerland,Defensive Midfield,DM,,Hamburger SV,Germany,3500000.0,in,summer,Premier League,2015,False,
163418,https://sofifa.com/player/163418/younes-kaboul/150002,Y. Kaboul,Younès Kaboul,28,1986-01-04,191,87,France,Tottenham Hotspur,English Premier League,1.0,79,79,6500000,90000,CB,Right,2,3,2,High/Medium,Normal,Yes,,#Strength,RCB,4.0,,2010-01-01,2016.0,,,74.0,43.0,57.0,57.0,79.0,82.0,,,,,,,"Power Free-Kick, Injury Prone",55,20,83,70,33,51,43,32,53,64,68,78,58,76,47,81,81,71,86,54,84,78,50,50,53,,75,84,78,8,13,6,8,5,Sunderland AFC,Younès Kaboul,29,France,Centre-Back,CB,,Tottenham,England,4300000.0,in,summer,Premier League,2015,False,
179875,https://sofifa.com/player/179875/dame-ndoye/150002,D. N'Doye,Dame N'Doye,29,1985-02-21,186,81,Senegal,Lokomotiv Moscow,Russian Premier League,1.0,79,79,8000000,80000,ST,Right,2,3,3,High/High,Normal,No,,,ST,33.0,,2012-07-28,2015.0,,,75.0,80.0,62.0,73.0,37.0,84.0,,,,,,,Long Shot Taker (AI),54,82,84,67,70,73,64,72,51,76,71,78,76,75,56,84,78,84,87,77,80,38,82,65,67,,30,30,26,13,12,8,7,15,Sunderland AFC,Dame N'Doye,30,Senegal,Centre-Forward,CF,,Trabzonspor,Turkey,1400000.0,in,winter,Premier League,2015,True,loan with fee
179875,https://sofifa.com/player/179875/dame-ndoye/150002,D. N'Doye,Dame N'Doye,29,1985-02-21,186,81,Senegal,Lokomotiv Moscow,Russian Premier League,1.0,79,79,8000000,80000,ST,Right,2,3,3,High/High,Normal,No,,,ST,33.0,,2012-07-28,2015.0,,,75.0,80.0,62.0,73.0,37.0,84.0,,,,,,,Long Shot Taker (AI),54,82,84,67,70,73,64,72,51,76,71,78,76,75,56,84,78,84,87,77,80,38,82,65,67,,30,30,26,13,12,8,7,15,Trabzonspor,Dame N'Doye,30,Senegal,Centre-Forward,CF,,Hull City,England,3150000.0,in,summer,Super Lig,2015,False,
